"YearMonth","AsOfDate","BeginAR","MonthSales","EndAR","EndCurrentAR","PastDueAR","AR90Plus","DisputedAR","OpenInvoices","PastDueInvoices","Invoices90Plus","CashApplied","CashReceived","CashAppliedLessReceived","UnappliedCash","UnappliedCashPct","WriteOffs","CreditMemos","DSO_Countback","DSO_Simple","BPDSO_Countback","AvgDaysDelinquent","DSO_MethodGap","CollectableBase","CEI_Book","CEI_Cash","PaperCollectionsGap","PctPastDue","Pct90Plus","PctDisputed","PctPastDueByCount","Pct90PlusByCount","IsComparablePeriod"
"2024-02","2024-02-29","4759740.67","4650317.31","7708694.97","6995522.58","713172.39","0.00","332653.12","1562","189","0","1668455.22","1693087.73","-24632.51","50367.02","0.65","0.00","34378.39","48.03","48.01","43.59","4.44","0.02","2414535.40","70.46","69.10","1.36","9.25","0.00","4.32","12.10","0.00","0"
"2024-03","2024-03-31","7708694.97","4985626.51","9161279.79","7454278.35","1707001.44","0.00","477125.84","1888","396","0","3492498.72","3531440.74","-38942.02","94695.34","1.03","0.00","44487.76","57.04","57.03","46.39","10.65","0.01","5240043.13","67.42","66.65","0.77","18.63","0.00","5.21","20.97","0.00","0"
"2024-04","2024-04-30","9161279.79","5818772.52","10031153.78","7950377.44","2080776.34","0.00","486298.26","2101","492","0","4919479.43","4967591.56","-48112.13","152004.07","1.52","0.00","42951.89","56.19","59.39","43.25","12.94","-3.20","7029674.87","70.40","69.98","0.42","20.74","0.00","4.85","23.42","0.00","0"
"2024-05","2024-05-31","10031153.78","5990089.95","10656433.22","8559730.04","2096703.18","11263.81","348365.59","2257","522","3","5267316.05","5259818.20","7497.85","152680.87","1.43","0.00","106201.60","55.06","61.29","44.25","10.81","-6.23","7461513.69","71.90","70.59","1.31","19.68","0.11","3.27","23.13","0.13","0"
"2024-06","2024-06-30","10656433.22","4702299.27","9696335.03","7472017.18","2224317.85","29388.57","423786.69","2092","533","6","5603736.24","5616674.28","-12938.04","173943.24","1.79","0.00","80105.65","55.85","56.69","44.33","11.52","-0.84","7886715.31","71.80","71.05","0.74","22.94","0.30","4.37","25.48","0.29","1"
"2024-07","2024-07-31","9696335.03","5953385.29","10225670.30","7954579.34","2271090.96","46794.49","547112.72","2156","516","8","5393372.02","5358257.87","35114.15","147393.30","1.44","0.00","55420.14","58.26","58.73","43.77","14.49","-0.47","7695140.98","70.49","70.09","0.40","22.21","0.46","5.35","23.93","0.37","1"
"2024-08","2024-08-31","10225670.30","5521676.51","10160131.06","7903401.04","2256730.02","62129.01","473586.15","2131","549","13","5540110.61","5607567.54","-67456.93","223036.51","2.20","0.00","58849.67","55.15","58.19","43.40","11.75","-3.04","7843945.77","71.23","70.63","0.60","22.21","0.61","4.66","25.76","0.61","1"
"2024-09","2024-09-30","10160131.06","5125563.65","9734609.08","7628347.75","2106261.33","60260.03","481385.31","2096","523","16","5487544.73","5491876.67","-4331.94","235345.82","2.42","0.00","89580.07","55.88","55.88","44.05","11.83","0.00","7657346.96","72.49","71.66","0.83","21.64","0.62","4.95","24.95","0.76","1"
"2024-10","2024-10-31","9734609.08","5326342.55","9642255.78","7361150.24","2281105.54","58804.19","441121.35","2084","533","17","5343851.26","5339694.05","4157.21","238479.33","2.47","0.00","82268.21","56.26","55.43","42.91","13.35","0.83","7699801.39","70.37","69.40","0.97","23.66","0.61","4.57","25.58","0.82","1"
"2024-11","2024-11-30","9642255.78","4832758.90","9356518.36","7339317.09","2017201.27","72011.79","462109.28","2011","530","22","5075434.01","5054313.79","21120.22","224647.49","2.40","0.00","58980.98","56.33","54.14","44.59","11.74","2.19","7135697.59","71.73","71.13","0.60","21.56","0.77","4.94","26.36","1.09","1"
"2024-12","2024-12-31","9356518.36","5394173.97","9803686.12","7551172.48","2252513.64","103690.18","539260.81","2069","546","29","4905848.98","4899531.16","6317.82","226444.66","2.31","0.00","55927.53","58.37","56.70","44.39","13.98","1.67","7199519.85","68.71","68.14","0.57","22.98","1.06","5.50","26.39","1.40","1"
"2025-01","2025-01-31","9803686.12","5063139.83","9814230.19","7587384.27","2226845.92","109490.42","406686.73","2055","568","32","4960432.68","4944551.24","15881.44","216312.27","2.20","0.00","103265.67","58.30","56.69","45.51","12.79","1.61","7279441.68","69.41","68.14","1.27","22.69","1.12","4.14","27.64","1.56","1"
"2025-02","2025-02-28","9814230.19","4316123.17","9608911.68","7513598.91","2095312.77","100684.26","381724.52","2013","511","34","4477570.47","4453628.23","23942.24","196940.16","2.05","0.00","73970.67","60.32","55.64","47.58","12.74","4.68","6616754.45","68.33","67.67","0.66","21.81","1.05","3.97","25.38","1.69","1"
"2025-03","2025-03-31","9608911.68","5098561.43","9785960.86","7506476.72","2279484.14","158867.68","372986.76","2069","578","58","4876642.22","4904252.57","-27610.35","230969.87","2.36","0.00","76001.74","61.27","56.57","46.62","14.65","4.70","7200996.39","68.34","67.72","0.62","23.29","1.62","3.81","27.94","2.80","1"
"2025-04","2025-04-30","9785960.86","5478895.88","10244389.45","7902802.44","2341587.01","247725.33","455456.46","2232","593","88","4988399.74","5002246.99","-13847.25","252601.33","2.47","2213.54","69229.15","58.97","59.54","44.74","14.23","-0.57","7362054.30","68.19","67.76","0.44","22.86","2.42","4.45","26.57","3.94","1"
"2025-05","2025-05-31","10244389.45","5630994.23","10395828.08","7813773.60","2582054.48","265806.32","532098.89","2283","665","85","5389445.69","5421861.86","-32416.17","292795.56","2.82","36327.73","61918.21","57.09","60.77","42.95","14.14","-3.68","8061610.08","67.97","66.85","1.12","24.84","2.56","5.12","29.13","3.72","1"
"2025-06","2025-06-30","10395828.08","5170792.39","10136142.12","7332149.33","2803992.79","233344.31","445281.87","2237","689","71","5300879.96","5297568.04","3311.92","298775.03","2.95","84467.36","53736.30","57.34","58.81","41.90","15.44","-1.47","8234471.14","65.95","64.37","1.57","27.66","2.30","4.39","30.80","3.17","1"
"2025-07","2025-07-31","10136142.12","6059943.33","10634824.07","8105018.32","2529805.75","318347.67","316050.31","2350","663","91","5451756.83","5410193.90","41562.93","265682.73","2.50","48936.26","70664.88","57.54","61.60","42.87","14.67","-4.06","8091067.13","68.73","67.38","1.35","23.79","2.99","2.97","28.21","3.87","1"
"2025-08","2025-08-31","10634824.07","5449542.69","10982688.73","8321078.29","2661610.44","405632.75","373684.22","2435","682","113","4991906.89","5036428.52","-44521.63","316517.69","2.88","45604.45","74075.94","59.31","63.68","45.69","13.62","-4.37","7763288.47","65.72","64.30","1.41","24.23","3.69","3.40","28.01","4.64","1"
"2025-09","2025-09-30","10982688.73","5729864.05","11573559.37","8452754.70","3120804.67","425283.61","392080.50","2558","771","124","4974867.49","4977871.68","-3004.19","327152.27","2.83","123902.99","46710.73","63.02","66.47","45.49","17.53","-3.45","8259798.08","62.22","60.23","1.99","26.96","3.67","3.39","30.14","4.85","1"
"2025-10","2025-10-31","11573559.37","5827583.52","11521766.45","8776552.93","2745213.52","423150.70","560695.12","2491","696","131","5735686.88","5802559.56","-66872.68","400931.47","3.48","113553.62","52376.64","60.81","65.66","46.44","14.37","-4.85","8624589.96","68.17","66.50","1.67","23.83","3.67","4.87","27.94","5.26","1"
"2025-11","2025-11-30","11521766.45","4809117.05","10760687.35","7869988.37","2890698.98","377774.08","384586.31","2345","713","121","5339004.62","5308784.77","30219.85","377362.93","3.51","124583.54","123097.55","61.65","61.34","46.28","15.37","0.31","8460895.13","65.83","63.10","2.73","26.86","3.51","3.57","30.41","5.16","1"
"2025-12","2025-12-31","10760687.35","5648631.86","10847081.49","8095793.78","2751287.71","362863.78","477988.84","2346","674","125","5425058.09","5459605.48","-34547.39","419392.13","3.87","122800.00","42007.34","63.07","61.59","46.27","16.80","1.48","8313525.43","66.91","65.26","1.65","25.36","3.35","4.41","28.73","5.33","1"
