"InvoiceNo","CustomerID","CustomerName","Segment","Region","SalesRep","RiskTier","CreditLimit","CollectorID","CollectorName","Team","TermsCode","NetDays","DiscountPct","InvoiceDate","DueDate","InvoiceAmount","PaidToDate","DiscountToDate","CreditMemoToDate","WriteOffToDate","OpenBalance","OverAppliedAmount","IsOpen","IsPastDue","DaysPastDue","BucketKey","BucketName","RiskWeight","IsDisputedOpen","DisputeReason"
"INV-000153","C0378","Silverline Fabrication - Southwest","OEM Manufacturer","Southwest","Rosa Delgado","Medium","585000.00","COL-01","Priya Natarajan","Strategic Accounts","NET45","45","0.00","2024-01-03","2024-02-17","8016.67","0.00","0.00","0.00","0.00","8016.67","0.00","1","1","683","5","90+","1.00","0",""
"INV-000196","C0326","Pioneer Manufacturing","OEM Manufacturer","Northeast","Adrian Cole","Low","315000.00","COL-01","Priya Natarajan","Strategic Accounts","NET45","45","0.00","2024-01-04","2024-02-18","3019.28","0.00","0.00","0.00","0.00","3019.28","0.00","1","1","682","5","90+","1.00","0",""
"INV-001056","C0190","Harbor Fabrication","OEM Manufacturer","West","Owen Price","Medium","580000.00","COL-01","Priya Natarajan","Strategic Accounts","NET45","45","0.00","2024-01-30","2024-03-15","12428.36","0.00","0.00","0.00","0.00","12428.36","0.00","1","1","656","5","90+","1.00","0",""
"INV-001631","C0196","Lakeshore MRO Services - Midwest","MRO Reseller","Midwest","Hana Sato","Low","75000.00","COL-06","Sam Horowitz","Small Business","2/10NET30","30","2.00","2024-02-15","2024-03-16","3697.77","0.00","0.00","0.00","0.00","3697.77","0.00","1","1","655","5","90+","1.00","0",""
"INV-001887","C0095","Stonegate Fabrication","OEM Manufacturer","West","Owen Price","Low","600000.00","COL-02","Marcus Bell","Strategic Accounts","NET60","60","0.00","2024-02-22","2024-04-22","15952.24","0.00","0.00","0.00","0.00","15952.24","0.00","1","1","618","5","90+","1.00","0",""
"INV-001929","C0392","Apex Industrial Supply - Southwest 3","MRO Reseller","Southwest","Rosa Delgado","High","95000.00","COL-05","Grace Lindqvist","Small Business","NET30","30","0.00","2024-02-22","2024-03-23","504.90","201.96","0.00","0.00","0.00","302.94","0.00","1","1","648","5","90+","1.00","0",""
"INV-002573","C0118","Granite MRO Services","MRO Reseller","Southeast","Dana Whitfield","Low","60000.00","COL-05","Grace Lindqvist","Small Business","2/10NET30","30","2.00","2024-03-12","2024-04-11","514.90","0.00","0.00","0.00","0.00","514.90","0.00","1","1","629","5","90+","1.00","0",""
"INV-002698","C0172","Crestview Electric","Contractor","West","Owen Price","Medium","120000.00","COL-04","Tomas Okafor","Commercial","2/10NET30","30","2.00","2024-03-14","2024-04-13","7155.82","4293.49","0.00","0.00","0.00","2862.33","0.00","1","1","627","5","90+","1.00","0",""
"INV-003672","C0147","Apex Manufacturing - Northeast","OEM Manufacturer","Northeast","Nadia Farouk","Low","455000.00","COL-02","Marcus Bell","Strategic Accounts","NET45","45","0.00","2024-04-08","2024-05-23","1792.87","0.00","0.00","0.00","0.00","1792.87","0.00","1","1","587","5","90+","1.00","0",""
"INV-004341","C0369","Lakeshore Components","OEM Manufacturer","Midwest","Hana Sato","High","545000.00","COL-02","Marcus Bell","Strategic Accounts","NET60","60","0.00","2024-04-22","2024-06-21","1876.30","0.00","0.00","0.00","0.00","1876.30","0.00","1","1","558","5","90+","1.00","0",""
"INV-004785","C0295","Ironbridge Maintenance Supply","MRO Reseller","Northeast","Nadia Farouk","Low","85000.00","COL-06","Sam Horowitz","Small Business","2/10NET30","30","2.00","2024-05-02","2024-06-01","517.98","0.00","0.00","0.00","0.00","517.98","0.00","1","1","578","5","90+","1.00","0",""
"INV-004996","C0084","Granite Construction","Contractor","Southwest","Rosa Delgado","Medium","145000.00","COL-03","Elena Ruiz","Commercial","2/10NET30","30","2.00","2024-05-08","2024-06-07","919.96","0.00","0.00","0.00","0.00","919.96","0.00","1","1","572","5","90+","1.00","0",""
