"MetricName","TargetValue","WarningValue","Direction","Unit","Description"
"AvgDaysDelinquent","8.00","15.00","LowerBetter","Days","DSO minus Best Possible DSO: days lost to late payment"
"BillingLagDays","2.00","4.00","LowerBetter","Days","Dollar-weighted days between shipping goods and issuing the invoice"
"CEI","85.00","75.00","HigherBetter","Percent","Collection Effectiveness Index for the month"
"CreditUtilization","80.00","100.00","LowerBetter","Percent","Customer open balance as a share of credit limit"
"DisputeAgeDays","15.00","30.00","LowerBetter","Days","Age of an unresolved dispute before it must be escalated"
"DSO","45.00","55.00","LowerBetter","Days","Days Sales Outstanding (countback method) at month end"
"Pct90Plus","3.00","6.00","LowerBetter","Percent","Share of open AR balance more than 90 days past due"
"PctPastDue","15.00","25.00","LowerBetter","Percent","Share of open AR balance that is past due"
"PromiseKeptRate","80.00","65.00","HigherBetter","Percent","Share of promised dollars actually received within the grace window"
"UnappliedCashPct","0.50","1.50","LowerBetter","Percent","Cash received but not matched to an invoice, as a share of open AR"
