"YearMonth","MonthEndDate","Region","InvoiceCount","CreditSales","BillingLagDays"
"2024-01","2024-01-31","Midwest","244","1158215.93","1.53"
"2024-01","2024-01-31","Northeast","248","1129693.47","1.49"
"2024-01","2024-01-31","Southeast","213","855139.77","1.48"
"2024-01","2024-01-31","Southwest","207","965326.09","1.43"
"2024-01","2024-01-31","West","209","874888.61","1.48"
"2024-02","2024-02-29","Midwest","230","1084164.76","1.58"
"2024-02","2024-02-29","Northeast","220","1046942.58","1.56"
"2024-02","2024-02-29","Southeast","211","885086.17","1.48"
"2024-02","2024-02-29","Southwest","204","852188.89","1.56"
"2024-02","2024-02-29","West","185","781934.91","1.46"
"2024-03","2024-03-31","Midwest","249","1221401.06","1.42"
"2024-03","2024-03-31","Northeast","250","1039391.44","1.49"
"2024-03","2024-03-31","Southeast","216","886961.87","1.44"
"2024-03","2024-03-31","Southwest","231","992478.83","1.50"
"2024-03","2024-03-31","West","218","845393.31","1.48"
"2024-04","2024-04-30","Midwest","274","1349576.58","1.49"
"2024-04","2024-04-30","Northeast","310","1253311.39","1.52"
"2024-04","2024-04-30","Southeast","260","1098386.26","1.36"
"2024-04","2024-04-30","Southwest","278","1184436.54","1.53"
"2024-04","2024-04-30","West","237","933061.75","1.48"
"2024-05","2024-05-31","Midwest","296","1347401.37","1.47"
"2024-05","2024-05-31","Northeast","301","1316088.63","1.47"
"2024-05","2024-05-31","Southeast","287","1142820.18","1.63"
"2024-05","2024-05-31","Southwest","271","1135500.70","1.54"
"2024-05","2024-05-31","West","250","1048279.07","1.50"
"2024-06","2024-06-30","Midwest","250","1156697.43","1.46"
"2024-06","2024-06-30","Northeast","252","1013934.42","1.41"
"2024-06","2024-06-30","Southeast","242","818733.90","1.46"
"2024-06","2024-06-30","Southwest","216","847871.71","1.50"
"2024-06","2024-06-30","West","217","865061.81","1.57"
"2024-07","2024-07-31","Midwest","313","1366944.86","1.47"
"2024-07","2024-07-31","Northeast","303","1377969.92","1.54"
"2024-07","2024-07-31","Southeast","276","1084628.36","1.39"
"2024-07","2024-07-31","Southwest","252","1095537.21","1.48"
"2024-07","2024-07-31","West","242","1028304.94","1.46"
"2024-08","2024-08-31","Midwest","270","1146981.75","1.53"
"2024-08","2024-08-31","Northeast","286","1365652.63","1.50"
"2024-08","2024-08-31","Southeast","241","915751.45","1.42"
"2024-08","2024-08-31","Southwest","258","1131060.58","1.55"
"2024-08","2024-08-31","West","225","962230.10","1.51"
"2024-09","2024-09-30","Midwest","270","1102513.58","1.62"
"2024-09","2024-09-30","Northeast","277","1139625.57","1.51"
"2024-09","2024-09-30","Southeast","230","953287.61","1.49"
"2024-09","2024-09-30","Southwest","262","987189.50","1.51"
"2024-09","2024-09-30","West","228","942947.39","1.53"
"2024-10","2024-10-31","Midwest","302","1393061.41","1.51"
"2024-10","2024-10-31","Northeast","262","1130135.74","1.49"
"2024-10","2024-10-31","Southeast","244","984159.56","1.50"
"2024-10","2024-10-31","Southwest","245","964385.79","1.51"
"2024-10","2024-10-31","West","233","854600.05","1.52"
"2024-11","2024-11-30","Midwest","255","1150658.58","1.51"
"2024-11","2024-11-30","Northeast","230","1020261.37","1.50"
"2024-11","2024-11-30","Southeast","225","933482.55","1.42"
"2024-11","2024-11-30","Southwest","237","980036.96","1.41"
"2024-11","2024-11-30","West","197","748319.44","1.48"
"2024-12","2024-12-31","Midwest","278","1206577.67","1.47"
"2024-12","2024-12-31","Northeast","274","1174066.27","1.48"
"2024-12","2024-12-31","Southeast","213","936362.19","1.49"
"2024-12","2024-12-31","Southwest","256","1107568.90","1.51"
"2024-12","2024-12-31","West","233","969598.94","1.48"
"2025-01","2025-01-31","Midwest","271","1326333.02","1.46"
"2025-01","2025-01-31","Northeast","240","1074903.28","1.50"
"2025-01","2025-01-31","Southeast","215","803832.32","1.56"
"2025-01","2025-01-31","Southwest","239","978282.60","1.51"
"2025-01","2025-01-31","West","201","879788.61","1.51"
"2025-02","2025-02-28","Midwest","221","945247.18","1.49"
"2025-02","2025-02-28","Northeast","205","984735.40","1.48"
"2025-02","2025-02-28","Southeast","191","705311.41","1.95"
"2025-02","2025-02-28","Southwest","207","893433.36","1.43"
"2025-02","2025-02-28","West","173","787395.82","1.53"
"2025-03","2025-03-31","Midwest","271","1241551.19","1.54"
"2025-03","2025-03-31","Northeast","256","1144174.56","1.46"
"2025-03","2025-03-31","Southeast","205","829657.66","2.21"
"2025-03","2025-03-31","Southwest","213","1022818.83","1.53"
"2025-03","2025-03-31","West","207","860359.19","1.45"
