"CustomerKey","CustomerID","CustomerName","Segment","Region","CollectorName","UnappliedCash","UnappliedReceipts","FullyUnappliedReceipts","NoRemittanceAdvice","OldestUnappliedDays","OpenBalance","PastDueBalance","NetExposure","WronglyChaseable"
"326","C0326","Pioneer Manufacturing","OEM Manufacturer","Northeast","Priya Natarajan","3702.23","2","1","2","679","65312.72","3702.23","61610.49","3702.23"
"378","C0378","Silverline Fabrication - Southwest","OEM Manufacturer","Southwest","Priya Natarajan","10190.22","2","1","2","668","120937.72","26147.37","110747.50","10190.22"
"118","C0118","Granite MRO Services","MRO Reseller","Southeast","Grace Lindqvist","504.60","1","1","1","652","2847.25","1339.14","2342.65","504.60"
"196","C0196","Lakeshore MRO Services - Midwest","MRO Reseller","Midwest","Sam Horowitz","4202.45","2","1","2","652","4212.75","4212.75","10.30","4202.45"
"190","C0190","Harbor Fabrication","OEM Manufacturer","West","Priya Natarajan","12428.36","1","0","1","647","103438.85","34815.87","91010.49","12428.36"
"392","C0392","Apex Industrial Supply - Southwest 3","MRO Reseller","Southwest","Grace Lindqvist","302.94","1","0","1","616","7879.38","871.28","7576.44","302.94"
"95","C0095","Stonegate Fabrication","OEM Manufacturer","West","Marcus Bell","21587.89","3","0","3","612","155416.91","40638.24","133829.02","21587.89"
"295","C0295","Ironbridge Maintenance Supply","MRO Reseller","Northeast","Sam Horowitz","507.62","1","0","1","603","6558.94","3571.66","6051.32","507.62"
"84","C0084","Granite Construction","Contractor","Southwest","Elena Ruiz","1741.81","2","0","2","597","11143.40","4742.58","9401.59","1741.81"
"147","C0147","Apex Manufacturing - Northeast","OEM Manufacturer","Northeast","Marcus Bell","12545.22","2","1","1","581","103119.74","15008.06","90574.52","12545.22"
"172","C0172","Crestview Electric","Contractor","West","Tomas Okafor","2862.33","1","1","1","580","9910.01","8585.40","7047.68","2862.33"
"141","C0141","Lakeshore Contracting","Contractor","Southwest","Elena Ruiz","912.02","1","0","1","556","1926.19","930.63","1014.17","912.02"
"369","C0369","Lakeshore Components","OEM Manufacturer","Midwest","Marcus Bell","25571.10","4","1","3","535","178177.24","44915.29","152606.14","25571.10"
"182","C0182","Lakeshore Parts & Service","MRO Reseller","Midwest","Sam Horowitz","574.59","1","1","1","516","5031.57","574.59","4456.98","574.59"
"210","C0210","Harbor Construction - Southwest","Contractor","Southwest","Tomas Okafor","3195.97","1","1","1","503","34035.98","12020.78","30840.01","3195.97"
"115","C0115","Ironbridge Contracting","Contractor","Northeast","Elena Ruiz","1417.00","1","0","1","502","6886.48","1417.00","5469.48","1417.00"
"151","C0151","Riverbend MRO Services - Northeast 3","MRO Reseller","Northeast","Grace Lindqvist","3099.81","2","1","1","500","8215.01","2414.29","5115.20","2414.29"
"215","C0215","Silverline Medical Center","Institutional","Southeast","Marcus Bell","4011.74","1","0","1","499","8153.48","6605.52","4141.74","4011.74"
"251","C0251","Silverline Mechanical - Southwest","Contractor","Southwest","Tomas Okafor","4065.66","2","2","1","498","13038.52","4924.60","8972.86","4065.66"
