"AnomalyType","Severity","ImpactClass","Anomalies","AmountAtRisk","PopulationScanned","AnomalyRatePct","CountsTowardExposure"
"ADJUSTMENT_EXCEEDS_INVOICE","High","Balance","0","0.00","29971","0.000","0"
"APPLICATION_BEFORE_RECEIPT","High","Timing","0","0.00","29312","0.000","0"
"DUPLICATE_RECEIPT","High","Balance","96","371039.99","27601","0.348","0"
"ORPHAN_DIMENSION_KEY","High","Integrity","0","0.00","29971","0.000","0"
"OVER_APPLIED_CASH","High","Balance","101","371039.99","29971","0.337","1"
"RECEIPT_BEFORE_INVOICE","High","Timing","30","100496.95","27601","0.109","0"
"UNAPPLIED_CASH_AGED","High","Routing","65","265487.11","27601","0.235","0"
"DISCOUNT_WITHOUT_TERMS","Medium","Balance","0","0.00","29312","0.000","0"
"DISPUTE_FLAG_INCONSISTENT","Medium","Integrity","0","0.00","29971","0.000","0"
"DUE_DATE_TERMS_MISMATCH","Medium","Ageing","52","12727.40","29971","0.174","0"
"PRE_BILLING","Medium","Integrity","20","76841.74","29971","0.067","0"
"RECEIPT_AFTER_ASOF","Medium","Timing","0","0.00","27601","0.000","0"
