"AsOfDate","TotalAR","CurrentAR","DisputedPastDueAR","UndisputedPastDueAR","SalesPerDay","DSO_Classic","GrantedDays","DisputeDays","LatenessDays","WeightedAvgTermsDays","TermsPositionDays","RecoverableDays","RecoverableCash","BillingLagDays","CashCycleDays","CashPerLagDay","IsComparablePeriod"
"2024-02-29","7708694.97","6995522.58","36771.77","676400.62","160559.69","48.01","43.57","0.23","4.21","47.21","-3.64","4.21","676400.62","1.51","49.52","160559.69","0"
"2024-03-31","9161279.79","7454278.35","100452.42","1606549.02","160650.63","57.03","46.40","0.63","10.00","46.92","-0.52","10.00","1606549.02","1.49","58.52","160650.63","0"
"2024-04-30","10031153.78","7950377.44","231732.94","1849043.40","168908.93","59.39","47.07","1.37","10.95","46.49","0.58","10.95","1849043.40","1.49","60.88","168908.93","0"
"2024-05-31","10656433.22","8559730.04","106301.70","1990401.48","173868.88","61.29","49.23","0.61","11.45","46.20","3.03","11.45","1990401.48","1.50","62.79","173868.88","0"
"2024-06-30","9696335.03","7472017.18","125357.66","2098960.19","171045.99","56.69","43.68","0.73","12.27","46.07","-2.39","12.27","2098960.19","1.49","58.18","171045.99","1"
"2024-07-31","10225670.30","7954579.34","220080.08","2051010.88","174102.13","58.73","45.69","1.26","11.78","45.83","-0.14","11.78","2051010.88","1.49","60.22","174102.13","1"
"2024-08-31","10160131.06","7903401.04","183441.40","2073288.62","174612.42","58.19","45.26","1.05","11.87","45.73","-0.47","11.87","2073288.62","1.49","59.68","174612.42","1"
"2024-09-30","9734609.08","7628347.75","175650.11","1930611.22","174200.71","55.88","43.79","1.01","11.08","45.62","-1.83","11.08","1930611.22","1.50","57.38","174200.71","1"
"2024-10-31","9642255.78","7361150.24","151676.78","2129428.76","173958.48","55.43","42.32","0.87","12.24","45.64","-3.32","12.24","2129428.76","1.50","56.93","173958.48","1"
"2024-11-30","9356518.36","7339317.09","158964.29","1858236.98","172806.26","54.14","42.47","0.92","10.75","45.65","-3.18","10.75","1858236.98","1.49","55.63","172806.26","1"
"2024-12-31","9803686.12","7551172.48","220577.82","2031935.82","172907.84","56.70","43.67","1.28","11.75","45.71","-2.04","11.75","2031935.82","1.49","58.19","172907.84","1"
"2025-01-31","9814230.19","7587384.27","129812.20","2097033.72","173126.08","56.69","43.83","0.75","12.11","45.72","-1.89","12.11","2097033.72","1.50","58.19","173126.08","1"
"2025-02-28","9608911.68","7513598.91","125251.00","1970061.77","172684.80","55.64","43.51","0.73","11.41","45.75","-2.24","11.41","1970061.77","1.50","57.14","172684.80","1"
"2025-03-31","9785960.86","7506476.72","108045.41","2171438.73","172994.21","56.57","43.39","0.62","12.55","45.73","-2.34","12.55","2171438.73","1.51","58.08","172994.21","1"
"2025-04-30","10244389.45","7902802.44","113789.26","2227797.75","172063.04","59.54","45.93","0.66","12.95","45.65","0.28","12.95","2227797.75","1.52","61.06","172063.04","1"
"2025-05-31","10395828.08","7813773.60","229299.57","2352754.91","171079.22","60.77","45.67","1.34","13.75","45.52","0.15","13.75","2352754.91","1.54","62.31","171079.22","1"
"2025-06-30","10136142.12","7332149.33","171993.86","2631998.93","172362.76","58.81","42.54","1.00","15.27","45.49","-2.95","15.27","2631998.93","1.57","60.38","172362.76","1"
"2025-07-31","10634824.07","8105018.32","115223.90","2414581.85","172654.70","61.60","46.94","0.67","13.99","45.70","1.24","13.99","2414581.85","1.60","63.20","172654.70","1"
"2025-08-31","10982688.73","8321078.29","88540.20","2573070.24","172457.07","63.68","48.25","0.51","14.92","45.96","2.29","14.92","2573070.24","1.63","65.31","172457.07","1"
"2025-09-30","11573559.37","8452754.70","155559.61","2965245.06","174112.69","66.47","48.55","0.89","17.03","46.21","2.34","17.03","2965245.06","1.66","68.13","174112.69","1"
"2025-10-31","11521766.45","8776552.93","185473.89","2559739.63","175485.95","65.66","50.01","1.06","14.59","46.42","3.59","14.59","2559739.63","1.70","67.36","175485.95","1"
"2025-11-30","10760687.35","7869988.37","76351.77","2814347.21","175421.18","61.34","44.86","0.44","16.04","46.59","-1.73","16.04","2814347.21","1.74","63.08","175421.18","1"
"2025-12-31","10847081.49","8095793.78","154864.71","2596423.00","176118.33","61.59","45.97","0.88","14.74","46.68","-0.71","14.74","2596423.00","1.78","63.37","176118.33","1"
