"YearMonth","MonthEndDate","DaysInMonth","CreditSales","InvoiceCount","WeightedAvgTermsDays","PctDollarsNet30","PctDollarsNet45","PctDollarsNet60","PctDollarsExtended"
"2024-01","2024-01-31","31","4983263.87","1121","47.20","31.14","31.22","33.57","37.64"
"2024-02","2024-02-29","29","4650317.31","1050","47.22","29.36","35.67","30.39","34.97"
"2024-03","2024-03-31","31","4985626.51","1164","46.37","36.15","26.70","33.09","37.15"
"2024-04","2024-04-30","30","5818772.52","1359","45.42","40.57","24.17","31.22","35.26"
"2024-05","2024-05-31","31","5990089.95","1405","45.20","40.12","26.81","28.91","33.08"
"2024-06","2024-06-30","30","4702299.27","1177","45.32","41.32","23.10","31.64","35.58"
"2024-07","2024-07-31","31","5953385.29","1386","44.60","41.56","26.17","28.96","32.27"
"2024-08","2024-08-31","31","5521676.51","1280","45.08","39.11","27.93","29.62","32.96"
"2024-09","2024-09-30","30","5125563.65","1267","44.72","40.38","28.22","27.83","31.39"
"2024-10","2024-10-31","31","5326342.55","1286","45.74","37.91","26.80","31.51","35.29"
"2024-11","2024-11-30","30","4832758.90","1144","45.81","38.19","27.23","30.07","34.58"
"2024-12","2024-12-31","31","5394173.97","1254","46.33","35.49","28.95","31.15","35.56"
"2025-01","2025-01-31","31","5063139.83","1166","47.30","30.70","32.74","31.82","36.56"
"2025-02","2025-02-28","28","4316123.17","997","47.63","30.07","31.05","34.52","38.88"
"2025-03","2025-03-31","31","5098561.43","1152","46.25","33.69","30.39","32.86","35.92"
"2025-04","2025-04-30","30","5478895.88","1319","44.56","40.47","29.01","27.03","30.53"
"2025-05","2025-05-31","31","5630994.23","1336","43.87","43.19","26.84","27.13","29.96"
"2025-06","2025-06-30","30","5170792.39","1249","44.72","41.24","27.11","27.77","31.64"
"2025-07","2025-07-31","31","6059943.33","1425","47.02","32.75","27.26","36.89","39.99"
"2025-08","2025-08-31","31","5449542.69","1301","47.83","32.23","24.24","39.73","43.53"
"2025-09","2025-09-30","30","5729864.05","1371","47.66","32.80","24.78","38.36","42.42"
"2025-10","2025-10-31","31","5827583.52","1327","47.90","29.72","29.38","36.82","40.91"
"2025-11","2025-11-30","30","4809117.05","1132","48.26","29.47","28.59","37.29","41.94"
"2025-12","2025-12-31","31","5648631.86","1303","47.31","31.26","30.08","34.66","38.65"
