"PriorityRank","CollectorRank","CustomerID","CustomerName","Segment","Region","RiskTier","CollectorID","CollectorName","Team","TermsCode","OpenBalance","PastDueBalance","Balance90Plus","DisputedBalance","WeightedExposure","DisputedWeightedExposure","CollectableExposure","NetCollectablePosition","IsFullyOffsetByCash","OldestDaysPastDue","CreditUtilizationPct","AvgDaysLateHistoric","UnappliedCash","NetExposure","BrokenPromises90d","ActionCode","CreditHoldFlag","IsTodaysWorklist","RecommendedAction"
"1","1","C0351","Ironbridge Components","OEM Manufacturer","Midwest","High","COL-01","Priya Natarajan","Strategic Accounts","NET45","171140.07","132293.14","0.00","15640.04","64535.33","606.04","57024.44","57024.44","0","90","38.03","79.4","7056.36","164083.71","2","ESCALATE","0","1","Escalate: high-risk account carrying a 90+ balance. Hold further shipments and agree a payment plan or refer for recovery."
"2","1","C0366","Westbrook Industries - West","OEM Manufacturer","West","Medium","COL-02","Marcus Bell","Strategic Accounts","NET60","122327.81","82857.53","0.00","0.00","37750.08","0.00","37750.08","37750.08","0","68","38.23","65.1","0.00","122327.81","0","COLLECTION_CALL","0","1","Collection call: oldest item is more than 30 days past due."
"3","1","C0302","Crestview Contracting - Northeast 3","Contractor","Northeast","High","COL-04","Tomas Okafor","Commercial","2/10NET30","60651.51","52023.36","19027.82","0.00","37672.10","0.00","37672.10","37672.10","0","139","48.52","8.2","0.00","60651.51","9","ESCALATE","0","1","Escalate: high-risk account carrying a 90+ balance. Hold further shipments and agree a payment plan or refer for recovery."
"4","2","C0232","Titan Builders - Southwest","Contractor","Southwest","High","COL-04","Tomas Okafor","Commercial","2/10NET30","60280.90","48278.00","24426.90","0.00","35663.13","0.00","35663.13","35663.13","0","147","57.41","8.4","0.00","60280.90","7","ESCALATE","0","1","Escalate: high-risk account carrying a 90+ balance. Hold further shipments and agree a payment plan or refer for recovery."
"5","1","C0386","Bluewater Electric","Contractor","West","High","COL-03","Elena Ruiz","Commercial","NET60","76941.41","46413.57","10287.08","0.00","32793.73","0.00","32793.73","32793.73","0","120","76.94","27.5","0.00","76941.41","10","ESCALATE","0","1","Escalate: high-risk account carrying a 90+ balance. Hold further shipments and agree a payment plan or refer for recovery."
"6","2","C0324","Pioneer Construction","Contractor","Southeast","High","COL-03","Elena Ruiz","Commercial","2/10NET30","65460.37","51420.43","18333.73","7692.27","32505.02","0.00","32505.02","32505.02","0","140","45.15","17.1","0.00","65460.37","9","ESCALATE","0","1","Escalate: high-risk account carrying a 90+ balance. Hold further shipments and agree a payment plan or refer for recovery."
"7","2","C0059","Apex Mechanical","Contractor","Midwest","High","COL-02","Marcus Bell","Strategic Accounts","NET30","53593.68","45881.37","16968.16","0.00","31940.25","0.00","31940.25","31940.25","0","143","35.73","26.0","0.00","53593.68","8","ESCALATE","0","1","Escalate: high-risk account carrying a 90+ balance. Hold further shipments and agree a payment plan or refer for recovery."
"8","3","C0031","Stonegate Machine Works","OEM Manufacturer","Northeast","Low","COL-02","Marcus Bell","Strategic Accounts","NET60","150926.78","85720.95","1675.15","0.00","33193.06","0.00","31517.91","31517.91","0","274","29.31","59.3","1675.15","149251.63","0","FINAL_NOTICE","0","1","Issue a final notice on the 90+ balance and confirm a payment date in writing."
"9","3","C0271","Riverbend Electric - Midwest 3","Contractor","Midwest","High","COL-03","Elena Ruiz","Commercial","2/10NET30","59342.10","46818.72","14609.63","0.00","27084.27","0.00","27084.27","27084.27","0","140","42.39","10.9","0.00","59342.10","7","ESCALATE","0","1","Escalate: high-risk account carrying a 90+ balance. Hold further shipments and agree a payment plan or refer for recovery."
"10","3","C0297","Apex Mechanical - Southeast 3","Contractor","Southeast","High","COL-04","Tomas Okafor","Commercial","NET30","31830.69","28601.28","26001.78","0.00","27073.54","0.00","27073.54","27073.54","0","138","106.10","32.3","0.00","31830.69","5","ESCALATE","1","1","Escalate: high-risk account carrying a 90+ balance. Hold further shipments and agree a payment plan or refer for recovery. Also place a credit hold: the account is at or over its credit limit."
