"PromiseNo","CustomerID","CustomerName","RiskTier","Segment","CollectorName","PromiseMadeDate","PromisedPayDate","PromisedAmount","CashInWindow","PctOfPromise","DaysSincePromised","PromiseStatus"
"PTP-000001","C0283","Apex Industries","Low","OEM Manufacturer","Priya Natarajan","2024-12-19","2024-12-30","2690.92","2949.84","109.62","366","Kept"
"PTP-000002","C0361","Titan University Facilities - Midwest","Low","Institutional","Priya Natarajan","2024-12-19","2024-12-31","4226.28","4444.45","105.16","365","Kept"
"PTP-000005","C0298","Cedar Ridge Contracting - Northeast","Low","Contractor","Priya Natarajan","2024-12-19","2025-01-01","6023.50","8479.05","140.77","364","Kept"
"PTP-000006","C0304","Ironbridge Industrial Supply - Midwest 3","Medium","MRO Reseller","Grace Lindqvist","2024-12-26","2025-01-01","2651.47","2788.42","105.17","364","Kept"
"PTP-000007","C0305","Titan Fabrication","Low","OEM Manufacturer","Marcus Bell","2024-12-27","2025-01-01","5566.96","19043.81","342.09","364","Kept"
"PTP-000003","C0236","Northfield Maintenance Supply","Medium","MRO Reseller","Grace Lindqvist","2024-12-22","2025-01-01","3312.25","4028.50","121.62","364","Kept"
"PTP-000004","C0240","Summit Contracting","Medium","Contractor","Tomas Okafor","2024-12-28","2025-01-01","536.54","585.64","109.15","364","Kept"
"PTP-000010","C0316","Bluewater Parts & Service - Midwest 3","Medium","MRO Reseller","Sam Horowitz","2024-12-21","2025-01-02","1779.21","7224.06","406.03","363","Kept"
"PTP-000008","C0017","Silverline Fabrication","Low","OEM Manufacturer","Priya Natarajan","2024-12-29","2025-01-02","2494.72","4910.94","196.85","363","Kept"
"PTP-000009","C0129","Northfield Builders","Medium","Contractor","Elena Ruiz","2024-12-26","2025-01-02","2605.37","3971.67","152.44","363","Kept"
"PTP-000011","C0393","Silverline Components - West 3","Low","OEM Manufacturer","Priya Natarajan","2024-12-26","2025-01-02","3964.06","4270.70","107.74","363","Kept"
"PTP-000014","C0378","Silverline Fabrication - Southwest","Medium","OEM Manufacturer","Priya Natarajan","2024-12-29","2025-01-03","8980.69","9719.34","108.22","362","Kept"
"PTP-000012","C0009","Ironbridge Fabrication","Medium","OEM Manufacturer","Marcus Bell","2024-12-23","2025-01-03","1860.14","1961.09","105.43","362","Kept"
"PTP-000013","C0054","Titan Manufacturing","Medium","OEM Manufacturer","Priya Natarajan","2024-12-30","2025-01-03","3715.91","13505.39","363.45","362","Kept"
"PTP-000015","C0151","Riverbend MRO Services - Northeast 3","Low","MRO Reseller","Grace Lindqvist","2024-12-28","2025-01-04","2589.98","2730.61","105.43","361","Kept"
"PTP-000016","C0206","Oakmont Manufacturing","Medium","OEM Manufacturer","Priya Natarajan","2024-12-28","2025-01-04","1692.05","10950.29","647.16","361","Kept"
"PTP-000017","C0206","Oakmont Manufacturing","Medium","OEM Manufacturer","Priya Natarajan","2024-12-24","2025-01-04","6972.10","10950.29","157.06","361","Kept"
"PTP-000019","C0334","Titan Fabrication - Southeast","Low","OEM Manufacturer","Priya Natarajan","2025-01-01","2025-01-05","7583.87","10378.07","136.84","360","Kept"
"PTP-000018","C0161","Titan Construction - Northeast","Low","Contractor","Elena Ruiz","2025-01-01","2025-01-05","2787.46","3003.32","107.74","360","Kept"
"PTP-000020","C0138","Ironbridge Mechanical - Midwest 4","Low","Contractor","Tomas Okafor","2024-12-30","2025-01-06","948.30","953.85","100.59","359","Kept"
"PTP-000021","C0341","Summit Supply Co. - Southeast","Medium","MRO Reseller","Grace Lindqvist","2024-12-29","2025-01-07","917.68","1444.32","157.39","358","Kept"
"PTP-000025","C0319","Ironbridge Medical Center - Southwest 3","Low","Institutional","Tomas Okafor","2024-12-28","2025-01-08","1256.27","2629.26","209.29","357","Kept"
"PTP-000023","C0244","Apex Maintenance Supply - Midwest","Low","MRO Reseller","Grace Lindqvist","2025-01-02","2025-01-08","2100.18","2657.39","126.53","357","Kept"
"PTP-000024","C0264","Crestview Electric - Midwest","Low","Contractor","Elena Ruiz","2025-01-04","2025-01-08","5648.84","5763.67","102.03","357","Kept"
"PTP-000022","C0095","Stonegate Fabrication","Low","OEM Manufacturer","Marcus Bell","2025-01-01","2025-01-08","3092.23","21112.27","682.75","357","Kept"
"PTP-000027","C0128","Summit Builders","Low","Contractor","Elena Ruiz","2024-12-28","2025-01-09","867.88","2388.16","275.17","356","Kept"
"PTP-000028","C0167","Lakeshore MRO Services","Medium","MRO Reseller","Grace Lindqvist","2024-12-26","2025-01-09","986.08","1880.88","190.74","356","Kept"
"PTP-000026","C0061","Riverbend Industries","Low","OEM Manufacturer","Marcus Bell","2025-01-04","2025-01-09","1560.19","1667.15","106.86","356","Kept"
"PTP-000029","C0334","Titan Fabrication - Southeast","Low","OEM Manufacturer","Priya Natarajan","2025-01-01","2025-01-09","6274.01","6474.49","103.20","356","Kept"
"PTP-000030","C0357","Redline Construction","High","Contractor","Elena Ruiz","2025-01-01","2025-01-09","1283.85","1321.56","102.94","356","Kept"
"PTP-000031","C0240","Summit Contracting","Medium","Contractor","Tomas Okafor","2025-01-08","2025-01-10","2014.00","7463.60","370.59","355","Kept"
"PTP-000032","C0234","Redline University Facilities - Midwest 3","Low","Institutional","Tomas Okafor","2025-01-06","2025-01-11","1113.38","3214.07","288.68","354","Kept"
"PTP-000033","C0389","Ironbridge Components - Southeast","Medium","OEM Manufacturer","Marcus Bell","2025-01-05","2025-01-11","13313.11","16869.23","126.71","354","Kept"
"PTP-000038","C0378","Silverline Fabrication - Southwest","Medium","OEM Manufacturer","Priya Natarajan","2025-01-01","2025-01-12","2506.77","3856.68","153.85","353","Kept"
"PTP-000037","C0228","Granite School District","Low","Institutional","Tomas Okafor","2025-01-08","2025-01-12","6947.98","7118.29","102.45","353","Kept"
"PTP-000036","C0163","Keystone Fabrication","Medium","OEM Manufacturer","Priya Natarajan","2025-01-03","2025-01-12","16161.83","16395.09","101.44","353","Kept"
"PTP-000035","C0125","Summit MRO Services","High","MRO Reseller","Grace Lindqvist","2025-01-06","2025-01-12","1896.20","1955.74","103.14","353","Kept"
"PTP-000034","C0099","Northfield Water Authority","Low","Institutional","Priya Natarajan","2024-12-30","2025-01-12","1088.23","1134.75","104.27","353","Kept"
