"AnomalyType","EntityType","Severity","ImpactClass","Anomalies","AmountAtRisk","PopulationScanned","AnomalyRatePct","CountsTowardExposure"
"AMBIGUOUS_CONTRACT","POLine","High","Contract","61","1495917.13","6327","0.964","0"
"DUPLICATE_PO_LINE","POLine","High","Spend","26","722989.52","6327","0.411","1"
"ORPHAN_DIMENSION_KEY","POLine","High","Integrity","0","0.00","6327","0.000","0"
"PRICE_OUTLIER","POLine","High","Spend","3","705309.75","6327","0.047","0"
"RECEIPT_BEFORE_ORDER","Receipt","High","Timing","4","74253.32","6127","0.065","0"
"RECEIPT_EXCEEDS_ORDER","Receipt","High","Quantity","0","0.00","6127","0.000","0"
"AGREEMENT_INVERTED","Agreement","Medium","Contract","0","0.00","655","0.000","0"
"EXPEDITE_FLAG_MISMATCH","POLine","Medium","Integrity","0","0.00","6327","0.000","0"
"NEVER_RECEIVED","POLine","Medium","Quantity","0","0.00","6327","0.000","0"
"ORDER_AFTER_ASOF","POLine","Medium","Timing","0","0.00","6327","0.000","0"
