"PONumber","PartNumber","PartName","Category","Criticality","QualifiedSupplierCount","QualificationMonths","IsSingleSource","VendorID","VendorName","Country","VendorTier","LumenRevenueSharePct","BuyerID","BuyerName","Team","OrderDate","PromisedDate","OrderYear","OrderYearMonth","OrderQty","UnitPrice","FreightAmount","ExpediteFee","IsExpedited","ExtendedPrice","LandedCost","AgreementNo","ContractedUnitPrice","AgreementsInForce","IsOnContract","PPVAmount","ContractedExtended","QtyReceived","QtyAccepted","QtyRejected","Receipts","IsReceived","AcceptanceRatePct","CostPerAcceptedUnit","RejectedValue","LastReceiptDate","DaysLate","IsOnTime"
"PO-000001","LOM-0046","Fibre Connector Module 0046","Fibre Connector","Standard","1","2","1","VEN-033","Oribel Technologies","Taiwan","Transactional","17.66","BUY-03","Mei-Ling Chow","Optics & Coatings","2023-01-09","2023-02-04","2023","2023-01","396","24.6870","135.81","0.00","0","9776.05","9911.86","PA-0000205","24.6870","1","1","0.00","9776.05","396","394","2","1","1","99.49","25.1570","49.37","2023-02-10","6","0"
"PO-000002","LOM-0036","Optical Coating Module 0036","Optical Coating","Standard","2","4","0","VEN-020","Meridian Photonics Industries","Japan","Approved","12.07","BUY-03","Mei-Ling Chow","Optics & Coatings","2023-01-11","2023-02-07","2023","2023-01","138","45.9910","115.10","0.00","0","6346.76","6461.86","PA-0000157","45.9910","1","1","0.00","6346.76","138","136","2","1","1","98.55","47.5137","91.98","2023-02-14","7","0"
"PO-000003","LOM-0124","Optical Coating Module 0124","Optical Coating","Standard","3","5","0","VEN-031","Quantex Technologies","United States","Transactional","14.93","BUY-03","Mei-Ling Chow","Optics & Coatings","2023-01-11","2023-02-06","2023","2023-01","122","147.5500","228.24","0.00","0","18001.10","18229.34","PA-0000572","147.5500","1","1","0.00","18001.10","122","121","1","1","1","99.18","150.6557","147.55","2023-02-04","-2","1"
"PO-000004","LOM-0094","Fibre Connector Module 0094","Fibre Connector","Standard","3","5","0","VEN-014","Photonica Industries","Japan","Preferred","4.81","BUY-04","Johan Lindberg","Optics & Coatings","2023-01-12","2023-02-07","2023","2023-01","380","24.6179","121.33","0.00","0","9354.80","9476.13","PA-0000428","24.6179","1","1","0.00","9354.80","380","375","5","1","1","98.68","25.2697","123.09","2023-02-12","5","0"
"PO-000005","LOM-0013","Precision Mount Component 0013","Precision Mount","Commodity","1","0","1","VEN-008","Meridian Photonics GmbH","Japan","Preferred","5.01","BUY-05","Priya Raghunathan","Mechanical & Thermal","2023-01-16","2023-01-28","2023","2023-01","14","207.4813","42.40","93.94","1","2904.74","3041.08","PA-0000057","207.4813","1","1","0.00","2904.74","14","14","0","1","1","100.00","217.2199","0.00","2023-01-30","2","0"
"PO-000006","LOM-0027","Lens Assembly Component 0027","Lens Assembly","Commodity","3","1","0","VEN-018","Northlight Industries","Germany","Approved","17.17","BUY-04","Johan Lindberg","Optics & Coatings","2023-01-16","2023-02-01","2023","2023-01","47","264.1759","287.11","0.00","0","12416.27","12703.38","PA-0000122","264.1759","1","1","0.00","12416.27","47","46","1","1","1","97.87","276.1604","264.18","2023-01-29","-3","1"
"PO-000007","LOM-0058","Optical Fibre Module 0058","Optical Fibre","Standard","3","4","0","VEN-023","Kestrel Optical Industries","Switzerland","Approved","6.75","BUY-03","Mei-Ling Chow","Optics & Coatings","2023-01-16","2023-02-07","2023","2023-01","360","55.5447","189.52","0.00","0","19996.09","20185.61","PA-0000259","55.5447","1","1","0.00","19996.09","360","358","2","1","1","99.44","56.3844","111.09","2023-02-15","8","0"
"PO-000008","LOM-0080","Laser Diode Module 0080","Laser Diode","Standard","3","5","0","VEN-004","Spectra GmbH","United Kingdom","Strategic","1.51","BUY-01","Adaeze Okonkwo","Optoelectronics","2023-01-16","2023-02-21","2023","2023-01","130","501.9232","525.43","0.00","0","65250.02","65775.45","PA-0000361","501.9232","1","1","0.00","65250.02","130","117","13","1","1","90.00","562.1833","6525.00","2023-02-21","0","1"
"PO-000009","LOM-0109","Precision Mount Assy 0109","Precision Mount","Critical","1","7","1","VEN-010","Vectra GmbH","United Kingdom","Preferred","5.43","BUY-06","Tomas Varga","Mechanical & Thermal","2023-01-16","2023-02-27","2023","2023-01","71","211.7856","103.99","0.00","0","15036.78","15140.77","PA-0000497","211.7856","1","1","0.00","15036.78","71","70","1","1","1","98.59","216.2967","211.79","2023-02-28","1","0"
"PO-000010","LOM-0004","Optical Coating Module 0004","Optical Coating","Standard","2","2","0","VEN-029","Helix Optics Technologies","Switzerland","Transactional","36.48","BUY-03","Mei-Ling Chow","Optics & Coatings","2023-01-20","2023-02-11","2023","2023-01","61","76.0924","57.39","0.00","0","4641.64","4699.03","PA-0000013","76.0924","1","1","0.00","4641.64","61","60","1","1","1","98.36","78.3171","76.09","2023-02-08","-3","1"
