"PartNumber","PartName","Category","Criticality","QualifiedSupplierCount","QualificationMonths","VendorID","VendorName","VendorTier","LumenRevenueSharePct","FirstDate","LastDate","YearsElapsed","Lines","TotalQty","TotalSpend","TTMQty","TTMSpend","FirstPrice","LastPrice","ExpectedPrice","BenchmarkErosionPct","ToleranceBandPct","ActualErosionPct","ErosionCapturePct","ErosionGapPerUnit","AnnualOpportunity"
"LOM-0104","Laser Diode Component 0104","Laser Diode","Commodity","2","0","VEN-003","Crystalline GmbH","Strategic","3.69","2023-04-27","2025-11-12","2.546","34","2688","1686697.08","1108","714564.24","583.3423","652.1172","471.7667","8.00","2.00","-4.474","-55.93","180.3505","199828.40"
"LOM-0128","Laser Diode Assy 0128","Laser Diode","Critical","2","9","VEN-015","Crystalline Industries","Preferred","3.57","2023-05-08","2025-12-22","2.626","32","2380","2003959.39","1189","997643.82","849.1721","832.8071","682.1857","8.00","2.00","0.738","9.23","150.6214","179088.80"
"LOM-0096","Laser Diode Module 0096","Laser Diode","Standard","1","2","VEN-011","Kestrel Optical GmbH","Preferred","3.73","2023-02-03","2025-12-16","2.867","48","4301","2459614.58","1521","686912.99","416.4004","443.9747","327.8618","8.00","2.00","-2.262","-28.28","116.1129","176607.69"
"LOM-0048","Laser Diode Module 0048","Laser Diode","Standard","3","5","VEN-008","Meridian Photonics GmbH","Preferred","5.01","2023-03-06","2025-12-19","2.790","33","2680","1994642.87","1357","988567.39","770.4723","724.0698","610.5554","8.00","2.00","2.202","27.53","113.5144","154039.04"
"LOM-0057","Photodetector Module 0057","Photodetector","Standard","1","2","VEN-005","Helix Optics GmbH","Strategic","1.75","2023-03-30","2025-12-16","2.716","33","2500","1176025.14","875","436614.97","454.9047","499.5045","379.0049","6.50","2.00","-3.504","-53.91","120.4996","105437.11"
"LOM-0082","Optical Fibre Module 0082","Optical Fibre","Standard","1","2","VEN-032","Meridian Photonics Technologies","Transactional","28.30","2023-05-09","2025-12-24","2.628","43","50236","2184683.88","23567","1026650.19","43.7097","43.6912","39.2633","4.00","1.50","0.016","0.40","4.4279","104353.40"
"LOM-0024","Laser Diode Module 0024","Laser Diode","Standard","1","2","VEN-019","Quantex Industries","Approved","16.00","2023-04-04","2025-12-17","2.705","51","3886","1721836.95","1026","454797.44","432.7746","444.2963","345.3884","8.00","2.00","-0.976","-12.20","98.9079","101479.51"
"LOM-0130","Optical Fibre Assy 0130","Optical Fibre","Critical","1","6","VEN-008","Meridian Photonics GmbH","Preferred","5.01","2023-05-01","2025-12-19","2.637","48","54417","2260442.23","16744","694927.10","40.0790","41.7484","35.9887","4.00","1.50","-1.560","-39.00","5.7597","96439.91"
"LOM-0009","Photodetector Module 0009","Photodetector","Standard","3","5","VEN-020","Meridian Photonics Industries","Approved","12.07","2023-03-06","2025-12-10","2.765","35","2857","1231784.56","1293","557683.88","430.4107","430.1006","357.4186","6.50","2.00","0.026","0.40","72.6820","93977.83"
"LOM-0106","Optical Fibre Assy 0106","Optical Fibre","Critical","1","8","VEN-010","Vectra GmbH","Preferred","5.43","2023-06-05","2025-12-29","2.568","42","48448","2532755.25","21131","1096526.65","53.2035","52.2099","47.9085","4.00","1.50","0.732","18.30","4.3014","90892.88"
"LOM-0120","Laser Diode Component 0120","Laser Diode","Commodity","3","0","VEN-016","Spectra Industries","Preferred","7.82","2023-04-04","2025-09-24","2.475","33","2685","2650922.96","675","646871.89","1008.4116","947.0531","820.3755","8.00","2.00","2.505","31.31","126.6776","85507.38"
"LOM-0123","Lens Assembly Assy 0123","Lens Assembly","Critical","3","11","VEN-008","Meridian Photonics GmbH","Preferred","5.01","2023-06-12","2025-12-29","2.549","38","2765","703073.96","1548","410583.38","231.4630","264.5891","214.1721","3.00","1.50","-5.388","-179.60","50.4170","78045.54"
"LOM-0134","Fibre Connector Assy 0134","Fibre Connector","Critical","1","7","VEN-010","Vectra GmbH","Preferred","5.43","2023-02-20","2025-12-30","2.858","51","27823","1097581.09","9567","375755.12","39.0427","39.3292","31.7295","7.00","2.00","-0.256","-3.66","7.5997","72706.70"
"LOM-0098","Optical Fibre Component 0098","Optical Fibre","Commodity","3","1","VEN-028","Spectra Technologies","Approved","8.62","2023-05-26","2025-12-29","2.595","31","31524","1373719.60","17826","739415.54","41.8861","41.3811","37.6759","4.00","1.50","0.466","11.65","3.7052","66048.73"
"LOM-0074","Optical Fibre Assy 0074","Optical Fibre","Critical","1","6","VEN-027","Crystalline Technologies","Approved","14.24","2023-05-10","2025-12-11","2.590","46","53429","1796814.85","19787","667640.96","33.6975","33.5533","30.3166","4.00","1.50","0.166","4.15","3.2367","64044.58"
"LOM-0016","Laser Diode Assy 0016","Laser Diode","Critical","1","8","VEN-017","Helix Optics Industries","Approved","10.21","2023-04-12","2025-10-23","2.533","46","3547","984380.65","1229","341330.30","277.7121","276.7181","224.8378","8.00","2.00","0.142","1.78","51.8803","63760.89"
"LOM-0097","Photodetector Module 0097","Photodetector","Standard","3","5","VEN-014","Photonica Industries","Preferred","4.81","2023-04-26","2025-12-10","2.626","31","2748","1320770.20","1173","548805.62","493.6902","466.4701","413.8146","6.50","2.00","2.137","32.88","52.6555","61764.90"
"LOM-0043","Lens Assembly Module 0043","Lens Assembly","Standard","1","2","VEN-029","Helix Optics Technologies","Transactional","36.48","2023-03-03","2025-11-07","2.683","47","3888","1165680.62","1203","378324.53","291.2355","319.6986","268.3817","3.00","1.50","-3.536","-117.87","51.3169","61734.18"
"LOM-0001","Photodetector Assy 0001","Photodetector","Critical","1","7","VEN-015","Crystalline Industries","Preferred","3.57","2023-04-10","2025-12-31","2.727","49","3822","1395391.53","1109","403455.27","356.6531","351.4468","296.9268","6.50","2.00","0.538","8.28","54.5200","60462.65"
"LOM-0034","Optical Fibre Assy 0034","Optical Fibre","Critical","2","9","VEN-016","Spectra Industries","Preferred","7.82","2023-03-14","2025-10-07","2.568","37","41838","2009871.34","15253","742352.47","48.7896","47.5173","43.9339","4.00","1.50","1.024","25.60","3.5834","54657.48"
"LOM-0048","Laser Diode Module 0048","Laser Diode","Standard","3","5","VEN-014","Photonica Industries","Preferred","4.81","2023-03-28","2025-12-31","2.762","10","609","475562.92","311","241053.34","770.4723","772.2882","611.9825","8.00","2.00","-0.085","-1.06","160.3057","49855.09"
"LOM-0125","Precision Mount Component 0125","Precision Mount","Commodity","2","0","VEN-009","Oribel GmbH","Preferred","9.47","2023-04-12","2025-12-18","2.686","30","2356","516219.85","1042","235463.37","190.5134","227.3285","180.4508","2.00","1.50","-6.799","-339.95","46.8777","48846.59"
"LOM-0041","Photodetector Component 0041","Photodetector","Commodity","3","1","VEN-009","Oribel GmbH","Preferred","9.47","2023-02-14","2025-12-26","2.864","44","3701","1458753.55","1078","412368.80","397.8700","370.5631","328.2054","6.50","2.00","2.452","37.72","42.3577","45661.64"
"LOM-0083","Lens Assembly Assy 0083","Lens Assembly","Critical","1","8","VEN-003","Crystalline GmbH","Strategic","3.69","2023-04-25","2025-11-26","2.590","54","4508","1632451.31","1518","550211.70","360.3215","361.6906","332.9883","3.00","1.50","-0.147","-4.90","28.7023","43570.09"
"LOM-0042","Optical Fibre Assy 0042","Optical Fibre","Critical","1","6","VEN-032","Meridian Photonics Technologies","Transactional","28.30","2023-02-17","2025-11-14","2.741","48","47879","2779489.03","11552","660641.39","59.4097","56.7890","53.1206","4.00","1.50","1.633","40.83","3.6684","42377.36"
"LOM-0086","Fibre Connector Assy 0086","Fibre Connector","Critical","1","8","VEN-004","Spectra GmbH","Strategic","1.51","2023-05-05","2025-12-19","2.626","51","27940","869989.05","8454","264990.97","31.1466","30.6557","25.7423","7.00","2.00","0.603","8.61","4.9134","41537.77"
"LOM-0012","Optical Coating Component 0012","Optical Coating","Commodity","3","1","VEN-008","Meridian Photonics GmbH","Preferred","5.01","2023-04-26","2025-09-24","2.415","33","5298","547715.90","1932","208598.07","99.5340","109.0634","87.9375","5.00","2.00","-3.859","-77.18","21.1259","40815.32"
"LOM-0118","Fibre Connector Component 0118","Fibre Connector","Commodity","2","0","VEN-028","Spectra Technologies","Approved","8.62","2023-04-14","2025-10-17","2.511","36","19225","783866.79","5413","221109.18","40.5090","41.1374","33.7608","7.00","2.00","-0.615","-8.79","7.3766","39929.54"
"LOM-0121","Photodetector Component 0121","Photodetector","Commodity","2","0","VEN-010","Vectra GmbH","Preferred","5.43","2023-05-18","2025-12-29","2.617","30","2102","621882.59","996","301642.47","290.7632","283.7632","243.8672","6.50","2.00","0.927","14.26","39.8960","39736.42"
"LOM-0127","Thermal Control Assy 0127","Thermal Control","Critical","2","9","VEN-008","Meridian Photonics GmbH","Preferred","5.01","2023-06-07","2025-12-12","2.516","31","2736","419511.64","1204","193171.34","148.4254","161.3254","128.7344","5.50","2.00","-3.368","-61.24","32.5910","39239.57"
"LOM-0030","Fibre Connector Component 0030","Fibre Connector","Commodity","1","0","VEN-013","Lumitek Industries","Preferred","9.15","2023-03-31","2025-12-30","2.752","41","25595","528983.69","10035","208052.08","20.5480","20.4936","16.8281","7.00","2.00","0.096","1.37","3.6655","36783.37"
"LOM-0008","Laser Diode Component 0008","Laser Diode","Commodity","2","0","VEN-014","Photonica Industries","Preferred","4.81","2023-02-21","2025-12-26","2.845","35","2837","1992112.21","847","550530.44","762.9303","645.1402","601.8125","8.00","2.00","5.725","71.56","43.3277","36698.52"
"LOM-0136","Laser Diode Assy 0136","Laser Diode","Critical","1","9","VEN-002","Photonica GmbH","Strategic","2.49","2023-03-24","2025-12-05","2.702","43","3121","1754728.17","1158","601807.02","590.3609","502.8981","471.2727","8.00","2.00","5.761","72.01","31.6254","36622.18"
"LOM-0019","Lens Assembly Assy 0019","Lens Assembly","Critical","1","6","VEN-005","Helix Optics GmbH","Strategic","1.75","2023-05-08","2025-11-06","2.500","36","2820","566164.31","1093","230122.71","194.7322","213.8472","180.4542","3.00","1.50","-3.817","-127.23","33.3930","36498.53"
"LOM-0137","Photodetector Module 0137","Photodetector","Standard","3","5","VEN-002","Photonica GmbH","Strategic","2.49","2023-07-14","2025-11-03","2.308","23","1992","944664.04","335","163550.84","457.4209","496.6837","391.6961","6.50","2.00","-3.632","-55.88","104.9876","35170.85"
"LOM-0108","Optical Coating Module 0108","Optical Coating","Standard","2","3","VEN-023","Kestrel Optical Industries","Approved","6.75","2023-05-12","2025-12-24","2.620","35","5676","706453.46","2388","295175.16","124.3326","123.1701","108.6979","5.00","2.00","0.358","7.16","14.4722","34559.66"
"LOM-0046","Fibre Connector Module 0046","Fibre Connector","Standard","1","2","VEN-033","Oribel Technologies","Transactional","17.66","2023-01-09","2025-12-01","2.894","40","19449","487860.71","7718","190069.43","24.6870","24.4065","20.0105","7.00","2.00","0.394","5.63","4.3960","33928.10"
"LOM-0047","Thermal Control Component 0047","Thermal Control","Commodity","2","0","VEN-026","Photonica Technologies","Approved","9.22","2023-04-10","2025-11-14","2.598","27","2227","527115.59","838","196044.88","221.7389","231.3716","191.4316","5.50","2.00","-1.650","-30.00","39.9400","33469.70"
"LOM-0128","Laser Diode Assy 0128","Laser Diode","Critical","2","9","VEN-033","Oribel Technologies","Transactional","17.66","2023-06-21","2025-09-08","2.218","12","932","750910.47","474","371869.50","859.4604","784.5348","714.3438","8.00","2.00","4.030","50.38","70.1910","33270.53"
"LOM-0081","Photodetector Module 0081","Photodetector","Standard","2","3","VEN-032","Meridian Photonics Technologies","Transactional","28.30","2023-04-14","2025-11-27","2.623","34","2442","894759.87","703","251919.65","374.9974","361.0871","314.3888","6.50","2.00","1.431","22.02","46.6983","32828.88"
"LOM-0005","Precision Mount Component 0005","Precision Mount","Commodity","3","0","VEN-007","Quantex GmbH","Preferred","10.21","2023-03-22","2025-12-17","2.741","33","2497","607917.70","1007","245216.27","228.6361","246.3088","216.3194","2.00","1.50","-2.754","-137.70","29.9894","30199.29"
"LOM-0067","Lens Assembly Assy 0067","Lens Assembly","Critical","1","6","VEN-023","Kestrel Optical Industries","Approved","6.75","2023-03-27","2025-12-22","2.741","32","2523","879386.33","1146","398238.54","349.9393","348.2116","321.9097","3.00","1.50","0.181","6.03","26.3019","30141.98"
"LOM-0135","Thermal Control Component 0135","Thermal Control","Commodity","3","1","VEN-011","Kestrel Optical GmbH","Preferred","3.73","2023-03-15","2025-12-16","2.757","30","2576","686749.06","1056","278430.20","275.1270","262.5223","235.3958","5.50","2.00","1.687","30.67","27.1265","28645.58"
"LOM-0111","Thermal Control Module 0111","Thermal Control","Standard","3","5","VEN-010","Vectra GmbH","Preferred","5.43","2023-06-02","2025-11-28","2.491","37","3017","749674.40","942","231906.56","248.1621","245.0563","215.5441","5.50","2.00","0.504","9.16","29.5122","27800.51"
"LOM-0035","Lens Assembly Assy 0035","Lens Assembly","Critical","1","8","VEN-017","Helix Optics Industries","Approved","10.21","2023-02-10","2025-12-29","2.883","48","4085","580591.93","1149","172940.94","139.9955","152.3499","128.2263","3.00","1.50","-2.977","-99.23","24.1236","27718.00"
"LOM-0129","Photodetector Module 0129","Photodetector","Standard","2","2","VEN-014","Photonica Industries","Preferred","4.81","2023-03-09","2025-12-31","2.815","29","2163","816692.85","807","293757.81","388.5493","354.9012","321.5739","6.50","2.00","3.167","48.72","33.3273","26895.15"
"LOM-0056","Laser Diode Module 0056","Laser Diode","Standard","3","4","VEN-034","Vectra Technologies","Transactional","34.49","2023-03-09","2025-11-17","2.694","35","2552","1435577.49","793","402552.10","615.0196","524.3169","491.2848","8.00","2.00","5.751","71.89","33.0321","26194.43"
"LOM-0059","Lens Assembly Component 0059","Lens Assembly","Commodity","2","0","VEN-007","Quantex GmbH","Preferred","10.21","2023-05-01","2025-10-24","2.483","36","2993","738416.67","719","182509.34","245.5689","262.2010","227.6814","3.00","1.50","-2.674","-89.13","34.5196","24819.56"
"LOM-0064","Laser Diode Component 0064","Laser Diode","Commodity","3","1","VEN-007","Quantex GmbH","Preferred","10.21","2023-05-24","2025-12-24","2.587","25","2142","1548783.63","850","566653.15","778.5967","656.6805","627.5259","8.00","2.00","6.370","79.63","29.1546","24781.41"
"LOM-0100","Optical Coating Module 0100","Optical Coating","Standard","2","3","VEN-019","Quantex Industries","Approved","16.00","2023-02-21","2025-11-24","2.757","38","6412","907439.27","1682","232154.42","144.4130","139.6701","125.3690","5.00","2.00","1.204","24.08","14.3011","24054.41"
"LOM-0034","Optical Fibre Assy 0034","Optical Fibre","Critical","2","9","VEN-031","Quantex Technologies","Transactional","14.93","2023-06-06","2025-11-28","2.480","13","15050","714291.69","8489","398339.53","48.7896","46.9242","44.0920","4.00","1.50","1.559","38.98","2.8322","24042.55"
"LOM-0053","Precision Mount Assy 0053","Precision Mount","Critical","3","11","VEN-026","Photonica Technologies","Approved","9.22","2023-02-06","2025-12-30","2.897","34","2639","468993.31","966","170591.16","164.8845","179.6180","155.5112","2.00","1.50","-2.999","-149.95","24.1068","23287.18"
"LOM-0026","Optical Fibre Module 0026","Optical Fibre","Standard","1","2","VEN-005","Helix Optics GmbH","Strategic","1.75","2023-05-22","2025-10-09","2.385","42","41616","1920222.62","10320","469098.47","46.9167","44.8113","42.5642","4.00","1.50","1.907","47.68","2.2471","23190.07"
"LOM-0090","Optical Fibre Component 0090","Optical Fibre","Commodity","3","1","VEN-031","Quantex Technologies","Transactional","14.93","2023-03-10","2025-12-09","2.752","32","33689","720260.52","12880","270899.89","21.6570","21.0326","19.3557","4.00","1.50","1.058","26.45","1.6769","21598.47"
"LOM-0103","Thermal Control Component 0103","Thermal Control","Commodity","3","1","VEN-012","Aperture Industries","Preferred","4.72","2023-02-14","2025-12-26","2.864","46","3432","646628.55","945","179227.78","194.9136","187.8918","165.7597","5.50","2.00","1.273","23.15","22.1321","20914.81"
"LOM-0006","Fibre Connector Component 0006","Fibre Connector","Commodity","2","0","VEN-001","Lumitek GmbH","Strategic","1.37","2023-02-20","2025-10-24","2.675","33","16981","268745.29","7248","114688.00","15.7440","15.8234","12.9661","7.00","2.00","-0.188","-2.69","2.8573","20709.71"
"LOM-0115","Lens Assembly Module 0115","Lens Assembly","Standard","2","2","VEN-032","Meridian Photonics Technologies","Transactional","28.30","2023-03-02","2025-12-05","2.762","34","2429","547963.41","555","133552.26","223.5653","242.6498","205.5266","3.00","1.50","-3.010","-100.33","37.1232","20603.38"
"LOM-0084","Optical Coating Module 0084","Optical Coating","Standard","2","3","VEN-016","Spectra Industries","Preferred","7.82","2023-02-02","2025-12-04","2.836","49","9353","1395237.24","2061","295051.96","152.1308","141.4869","131.5350","5.00","2.00","2.525","50.50","9.9519","20510.78"
"LOM-0028","Optical Coating Module 0028","Optical Coating","Standard","3","5","VEN-031","Quantex Technologies","Transactional","14.93","2023-03-30","2025-12-26","2.743","11","1762","263936.83","858","131512.04","144.1571","149.0299","125.2368","5.00","2.00","-1.219","-24.38","23.7931","20414.48"
"LOM-0107","Lens Assembly Module 0107","Lens Assembly","Standard","2","3","VEN-008","Meridian Photonics GmbH","Preferred","5.01","2023-03-21","2025-12-02","2.702","36","2822","703533.44","1100","273589.31","251.4969","249.8996","231.6273","3.00","1.50","0.236","7.87","18.2723","20099.53"
"LOM-0025","Photodetector Module 0025","Photodetector","Standard","1","2","VEN-011","Kestrel Optical GmbH","Preferred","3.73","2023-03-07","2025-12-25","2.804","37","3044","317795.66","1128","117169.32","104.4832","103.8735","86.5371","6.50","2.00","0.209","3.22","17.3364","19555.46"
"LOM-0002","Optical Fibre Component 0002","Optical Fibre","Commodity","3","1","VEN-013","Lumitek Industries","Preferred","9.15","2023-04-27","2025-12-18","2.645","34","33925","788331.88","12385","279640.29","23.2461","22.4269","20.8669","4.00","1.50","1.347","33.68","1.5600","19320.81"
"LOM-0029","Precision Mount Component 0029","Precision Mount","Commodity","3","1","VEN-016","Spectra Industries","Preferred","7.82","2023-03-16","2025-11-28","2.705","35","3100","501523.77","941","161059.34","158.0091","169.6470","149.6059","2.00","1.50","-2.662","-133.10","20.0411","18858.72"
"LOM-0033","Photodetector Module 0033","Photodetector","Standard","1","2","VEN-003","Crystalline GmbH","Strategic","3.69","2023-03-17","2025-12-29","2.787","56","4541","999955.22","1743","362542.50","230.5516","201.7996","191.1701","6.50","2.00","4.667","71.80","10.6295","18527.30"
"LOM-0011","Lens Assembly Module 0011","Lens Assembly","Standard","3","5","VEN-036","Aperture Technologies","Transactional","30.07","2023-04-24","2025-12-26","2.675","25","2076","744865.60","707","254892.28","350.5554","348.8349","323.1253","3.00","1.50","0.184","6.13","25.7096","18176.70"
