"PriorityRank","BuyerRank","PartNumber","PartName","Category","Criticality","QualifiedSupplierCount","QualificationMonths","IsSingleSource","VendorID","VendorName","VendorTier","LumenRevenueSharePct","BuyerID","BuyerName","Team","FirstPrice","LastPrice","ExpectedPrice","BenchmarkErosionPct","ActualErosionPct","ErosionCapturePct","ErosionGapPerUnit","TTMQty","TTMSpend","AnnualOpportunity","RejectedValue","PPV","OffContractSpend","AcceptanceRatePct","LeverageScore","ActionCode","IsThisQuarter","RecommendedAction"
"1","1","LOM-0104","Laser Diode Component 0104","Laser Diode","Commodity","2","0","0","VEN-003","Crystalline GmbH","Strategic","3.69","BUY-01","Adaeze Okonkwo","Optoelectronics","583.3423","652.1172","471.7667","8.00","-4.474","-55.93","180.3505","1108","714564.24","199828.40","6453.74","","714564.24","99.10","59.0","PUT_ON_CONTRACT","1","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"2","2","LOM-0128","Laser Diode Assy 0128","Laser Diode","Critical","2","9","0","VEN-015","Crystalline Industries","Preferred","3.57","BUY-01","Adaeze Okonkwo","Optoelectronics","849.1721","832.8071","682.1857","8.00","0.738","9.23","150.6214","1189","997643.82","179088.80","6721.47","-1116.53","0.00","99.15","35.0","RENEGOTIATE","1","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"3","3","LOM-0096","Laser Diode Module 0096","Laser Diode","Standard","1","2","1","VEN-011","Kestrel Optical GmbH","Preferred","3.73","BUY-01","Adaeze Okonkwo","Optoelectronics","416.4004","443.9747","327.8618","8.00","-2.262","-28.28","116.1129","1521","686912.99","176607.69","5872.56","","686912.99","99.09","37.0","PUT_ON_CONTRACT","1","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"4","4","LOM-0048","Laser Diode Module 0048","Laser Diode","Standard","3","5","0","VEN-008","Meridian Photonics GmbH","Preferred","5.01","BUY-01","Adaeze Okonkwo","Optoelectronics","770.4723","724.0698","610.5554","8.00","2.202","27.53","113.5144","1357","988567.39","154039.04","5129.45","2149.92","0.00","99.26","70.0","RENEGOTIATE","1","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"5","1","LOM-0057","Photodetector Module 0057","Photodetector","Standard","1","2","1","VEN-005","Helix Optics GmbH","Strategic","1.75","BUY-02","Rafael Duarte","Optoelectronics","454.9047","499.5045","379.0049","6.50","-3.504","-53.91","120.4996","875","436614.97","105437.11","3030.77","0.00","378435.02","98.95","37.0","PUT_ON_CONTRACT","1","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"6","1","LOM-0082","Optical Fibre Module 0082","Optical Fibre","Standard","1","2","1","VEN-032","Meridian Photonics Technologies","Transactional","28.30","BUY-03","Mei-Ling Chow","Optics & Coatings","43.7097","43.6912","39.2633","4.00","0.016","0.40","4.4279","23567","1026650.19","104353.40","7411.81","1892.88","0.00","99.23","60.0","RENEGOTIATE","1","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"7","2","LOM-0024","Laser Diode Module 0024","Laser Diode","Standard","1","2","1","VEN-019","Quantex Industries","Approved","16.00","BUY-02","Rafael Duarte","Optoelectronics","432.7746","444.2963","345.3884","8.00","-0.976","-12.20","98.9079","1026","454797.44","101479.51","3530.55","-1270.08","0.00","99.20","60.0","RENEGOTIATE","1","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"8","2","LOM-0130","Optical Fibre Assy 0130","Optical Fibre","Critical","1","6","1","VEN-008","Meridian Photonics GmbH","Preferred","5.01","BUY-03","Mei-Ling Chow","Optics & Coatings","40.0790","41.7484","35.9887","4.00","-1.560","-39.00","5.7597","16744","694927.10","96439.91","4725.75","-1228.31","0.00","99.26","27.0","DUAL_SOURCE","1","Sole source with real money at stake and a reachable requalification. Qualify a second supplier, then reopen the price."
"9","5","LOM-0009","Photodetector Module 0009","Photodetector","Standard","3","5","0","VEN-020","Meridian Photonics Industries","Approved","12.07","BUY-01","Adaeze Okonkwo","Optoelectronics","430.4107","430.1006","357.4186","6.50","0.026","0.40","72.6820","1293","557683.88","93977.83","3886.54","1533.19","0.00","99.23","79.0","RENEGOTIATE","1","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"10","1","LOM-0106","Optical Fibre Assy 0106","Optical Fibre","Critical","1","8","1","VEN-010","Vectra GmbH","Preferred","5.43","BUY-04","Johan Lindberg","Optics & Coatings","53.2035","52.2099","47.9085","4.00","0.732","18.30","4.3014","21131","1096526.65","90892.88","4801.95","-6814.55","0.00","99.42","27.0","DUAL_SOURCE","1","Sole source with real money at stake and a reachable requalification. Qualify a second supplier, then reopen the price."
