"AsOfDate","Lines","TotalSpend","LandedSpend","PPVAmount","PPVPct","MaverickSpendPct","AcceptanceRatePct","RejectedValue","OnTimeDeliveryPct","ExpediteSpendPct","ErosionCapturePct","ErosionOpportunity","SingleSourceSpendPct","Top5VendorSharePct"
"2023-12-31","1810","41646332.42","42337932.82","561942.45","1.432","4.45","99.11","450925.69","82.33","0.12","","","27.44","26.35"
"2024-01-31","1994","46234144.03","47002316.97","570962.80","1.309","4.43","99.11","482674.39","82.59","0.11","","","27.83","26.90"
"2024-02-29","2100","49220360.30","50033502.82","564328.21","1.217","4.61","99.12","501499.13","82.47","0.10","","","27.29","26.80"
"2024-03-31","2183","50823893.88","51664640.23","559219.63","1.169","4.74","99.12","534934.32","82.80","0.10","","","27.94","27.54"
"2024-04-30","2239","52811929.24","53691273.71","563988.07","1.147","5.80","99.13","545090.07","82.60","0.11","","","28.00","28.58"
"2024-05-31","2258","53449853.75","54338219.42","635464.90","1.295","7.04","99.12","544091.94","82.79","0.12","","","28.26","29.19"
"2024-06-30","2275","53681543.25","54574737.33","612728.37","1.263","8.49","99.13","538311.63","83.35","0.12","59.29","55427.99","29.39","29.40"
"2024-07-31","2310","54308377.66","55210880.68","548473.17","1.138","10.21","99.12","548844.40","82.76","0.12","36.40","506152.98","29.07","29.96"
"2024-08-31","2293","53962818.13","54864353.54","563027.86","1.186","11.00","99.13","556883.24","83.02","0.12","29.51","1102547.14","29.29","29.48"
"2024-09-30","2297","53802949.40","54701797.91","566039.77","1.218","12.58","99.13","555612.94","83.11","0.11","21.32","1799231.45","28.84","29.19"
"2024-10-31","2302","53850267.78","54748816.97","562007.47","1.222","13.56","99.14","537885.32","83.34","0.11","26.93","2379894.87","28.53","28.76"
"2024-11-30","2276","52413078.26","53295615.08","8142.13","0.018","15.24","99.14","515463.68","83.37","0.11","24.70","2551942.55","27.13","28.13"
"2024-12-31","2308","52804699.35","53698346.71","22303.70","0.051","16.39","99.14","540904.96","82.94","0.12","24.71","2789069.02","27.73","27.71"
"2025-01-31","2292","52179971.40","53064076.39","5082.12","0.012","17.81","99.12","535052.61","82.90","0.13","26.07","2912186.65","27.10","26.86"
"2025-02-28","2308","52304756.42","53197451.74","12696.29","0.030","18.66","99.12","522363.03","82.45","0.13","24.76","3058721.86","27.66","27.42"
"2025-03-31","2283","51466078.96","52348111.37","18201.11","0.044","20.20","99.11","554092.58","82.07","0.13","25.93","3096866.62","28.42","27.56"
"2025-04-30","2269","51054360.36","51933441.15","15239.54","0.038","20.56","99.11","536361.70","81.43","0.13","29.02","3149501.48","28.23","26.91"
"2025-05-31","2261","50857148.84","51736173.00","-53719.28","-0.134","21.42","99.11","525642.99","81.31","0.12","27.60","3259250.58","27.93","27.50"
"2025-06-30","2260","50311337.02","51189354.10","-47788.80","-0.122","22.47","99.11","532654.29","81.24","0.14","27.76","3361931.31","26.68","26.98"
"2025-07-31","2236","49984994.50","50867413.58","-58239.02","-0.151","23.06","99.11","510638.89","80.62","0.16","28.15","3495059.57","27.15","26.12"
"2025-08-31","2229","49536466.11","50416351.00","-60913.54","-0.164","25.22","99.11","521056.29","80.67","0.16","28.31","3596595.78","27.24","26.68"
"2025-09-30","2232","49401783.79","50283839.61","-60868.32","-0.165","25.36","99.11","528596.99","80.96","0.18","32.03","3668425.58","27.03","26.74"
"2025-10-31","2213","48161201.96","49024876.02","-58926.34","-0.165","26.17","99.10","515461.37","80.26","0.18","31.19","3665876.23","27.27","27.01"
"2025-11-30","2227","48145109.60","49023911.55","-49831.58","-0.141","26.74","99.10","510188.21","80.56","0.22","28.96","3872427.65","27.56","26.80"
"2025-12-31","2209","48586386.86","49474785.92","-67087.76","-0.189","27.09","99.11","498840.71","80.62","0.23","29.50","4047608.72","27.17","27.20"
