"VendorID","VendorName","Country","VendorTier","LumenRevenueSharePct","Lines","TotalSpend","LandedSpend","FreightSpend","ExpediteSpend","ExpeditePctOfSpend","OnContractPct","PPVAmount","PPVPct","QtyReceived","QtyAccepted","AcceptanceRatePct","RejectedValue","OnTimePct","AvgDaysLate","CostIndexVsBest","SharedParts"
"VEN-008","Meridian Photonics GmbH","Japan","Preferred","5.01","372","8518594.04","8667678.33","136466.06","12618.23","0.15","87.90","-9184.16","-0.121","86489","85739","99.13","81655.48","81.11","-0.07","104.42","14"
"VEN-010","Vectra GmbH","United Kingdom","Preferred","5.43","361","8098186.84","8237508.98","128592.20","10729.94","0.13","89.75","-1393.71","-0.020","105140","104303","99.20","62897.76","81.84","-0.37","101.77","10"
"VEN-016","Spectra Industries","United Kingdom","Preferred","7.82","195","7562968.43","7693723.79","121680.33","9075.03","0.12","79.49","6426.72","0.100","66734","66156","99.13","77381.04","77.95","0.09","100.80","11"
"VEN-032","Meridian Photonics Technologies","Japan","Transactional","28.30","212","7188922.60","7309705.99","109181.01","11602.38","0.16","93.87","-17779.36","-0.255","116153","115319","99.28","56967.13","86.19","-0.71","101.04","6"
"VEN-014","Photonica Industries","Japan","Preferred","4.81","239","6776342.20","6896297.70","107394.83","12560.67","0.19","83.68","-15136.09","-0.265","54272","53810","99.15","54049.22","84.48","-0.47","104.15","13"
"VEN-005","Helix Optics GmbH","Switzerland","Strategic","1.75","281","6535276.57","6651838.00","99733.16","16828.27","0.26","80.07","7827.98","0.150","78025","77365","99.15","60207.61","84.25","-0.43","101.57","11"
"VEN-003","Crystalline GmbH","Taiwan","Strategic","3.69","234","5774441.64","5870564.57","91897.81","4225.12","0.07","74.79","-2320.34","-0.063","22364","22147","99.03","60006.31","82.17","-0.38","102.13","6"
"VEN-031","Quantex Technologies","United States","Transactional","14.93","258","5598522.37","5692618.88","89897.64","4198.87","0.07","88.76","-12946.31","-0.278","99191","98381","99.18","52890.82","84.27","-0.45","105.59","14"
"VEN-023","Kestrel Optical Industries","Switzerland","Approved","6.75","152","5429746.87","5522761.23","79324.74","13689.62","0.25","85.53","-8787.88","-0.173","58909","58454","99.23","47208.63","76.43","0.09","108.50","10"
"VEN-020","Meridian Photonics Industries","Japan","Approved","12.07","256","5336318.29","5428913.36","83650.22","8944.85","0.17","98.44","69512.36","1.327","138471","137362","99.20","41513.03","80.32","-0.38","104.12","11"
"VEN-028","Spectra Technologies","United Kingdom","Approved","8.62","315","5082227.67","5165870.47","79399.66","4243.14","0.08","85.71","43110.90","1.023","79009","78362","99.18","38312.96","79.80","-0.20","105.42","10"
"VEN-004","Spectra GmbH","United Kingdom","Strategic","1.51","140","4712776.06","4796701.69","76716.78","7208.85","0.15","81.43","-12377.51","-0.305","49172","48352","98.33","289024.27","83.94","-0.43","100.23","5"
"VEN-007","Quantex GmbH","United States","Preferred","10.21","207","4232747.94","4306439.56","68958.93","4732.69","0.11","93.24","6970.40","0.173","44698","44290","99.09","37788.82","84.80","-0.50","103.40","9"
"VEN-017","Helix Optics Industries","Switzerland","Approved","10.21","216","4074084.85","4144679.22","64581.76","6012.61","0.15","93.52","2887.51","0.074","56308","55818","99.13","39904.83","78.95","-0.12","101.58","4"
"VEN-009","Oribel GmbH","Taiwan","Preferred","9.47","230","4072508.87","4144289.31","67695.91","4084.53","0.10","71.30","-5209.18","-0.208","34459","34073","98.88","46617.13","59.64","1.05","103.99","10"
"VEN-011","Kestrel Optical GmbH","Switzerland","Preferred","3.73","141","3942975.99","3999251.91","50247.94","6027.98","0.15","66.67","544330.66","31.716","14811","14688","99.17","37088.25","82.35","-0.14","101.98","5"
"VEN-029","Helix Optics Technologies","Switzerland","Transactional","36.48","176","3860778.97","3928256.83","63464.84","4013.02","0.10","88.07","3165.46","0.093","24583","24278","98.76","47507.28","81.50","-0.39","100.94","7"
"VEN-015","Crystalline Industries","Taiwan","Preferred","3.57","117","3849672.24","3920300.10","64220.32","6407.54","0.17","66.67","4782.58","0.165","13194","13084","99.17","31122.44","81.08","-0.06","108.71","6"
"VEN-006","Northlight GmbH","Germany","Strategic","4.77","189","3718821.08","3785468.32","58991.76","7655.48","0.21","93.65","-8655.39","-0.243","55174","54653","99.06","44321.59","83.51","-0.41","101.43","8"
"VEN-019","Quantex Industries","United States","Approved","16.00","145","3376414.95","3430391.31","52939.49","1036.87","0.03","78.62","-14428.80","-0.487","16057","15874","98.86","34364.03","76.92","0.02","101.90","6"
"VEN-002","Photonica GmbH","Japan","Strategic","2.49","106","3168434.02","3225981.21","52163.30","5383.89","0.17","49.06","-3810.35","-0.291","14374","14224","98.96","27294.97","85.29","-0.44","103.08","4"
"VEN-034","Vectra Technologies","United Kingdom","Transactional","34.49","210","3147306.50","3201525.35","50225.03","3993.82","0.13","97.62","-5049.15","-0.168","60001","59422","99.04","33523.61","82.13","-0.42","102.94","9"
"VEN-026","Photonica Technologies","Japan","Approved","9.22","152","3122968.97","3175037.21","49528.44","2539.80","0.08","58.55","-13622.68","-0.696","50553","50129","99.16","28359.02","86.67","-0.79","104.32","12"
"VEN-022","Vectra Industries","United Kingdom","Approved","12.65","171","2991524.18","3046536.25","48172.30","6839.77","0.23","92.98","-935.67","-0.034","18649","18432","98.84","28958.92","86.75","-0.51","102.72","11"
"VEN-033","Oribel Technologies","Taiwan","Transactional","17.66","156","2972739.36","3025101.43","46785.50","5576.57","0.19","53.85","-1926.43","-0.106","37746","37388","99.05","26321.09","80.26","-0.18","101.68","8"
"VEN-013","Lumitek Industries","United States","Preferred","9.15","164","2846030.62","2892933.40","44090.58","2812.20","0.10","79.27","-146.04","-0.007","66614","66061","99.17","26707.16","88.61","-0.86","104.41","6"
"VEN-018","Northlight Industries","Germany","Approved","17.17","118","2708008.75","2751817.87","43030.68","778.44","0.03","98.31","1409.87","0.053","14361","14217","99.00","25979.26","85.09","-0.89","104.45","8"
"VEN-001","Lumitek GmbH","United States","Strategic","1.37","159","2610446.87","2657279.20","40402.68","6429.65","0.25","94.34","-16194.26","-0.660","52773","52266","99.04","26356.41","81.94","-0.34","101.86","8"
"VEN-027","Crystalline Technologies","Taiwan","Approved","14.24","82","2420352.95","2462493.67","35832.74","6307.98","0.26","100.00","-2557.98","-0.106","80473","79935","99.33","16227.01","86.08","-0.43","100.03","2"
"VEN-012","Aperture Industries","Germany","Preferred","4.72","179","1932201.82","1966895.57","30679.76","4013.99","0.21","72.63","-1177.92","-0.089","36618","36263","99.03","19397.22","84.75","-0.54","101.71","7"
"VEN-036","Aperture Technologies","Germany","Transactional","30.07","63","1503596.69","1530135.64","22463.67","4075.28","0.27","76.19","-7354.92","-0.694","4369","4304","98.51","21548.24","85.00","-0.47","109.71","3"
"VEN-024","Aperture Technologies","Germany","Approved","18.36","91","1469457.03","1494955.82","24121.89","1376.90","0.09","100.00","-5539.56","-0.376","10323","10199","98.80","16471.86","78.65","-0.06","100.07","5"
"VEN-035","Kestrel Optical Technologies","Switzerland","Transactional","36.86","112","1445470.41","1470446.51","22484.99","2491.11","0.17","90.18","-314.83","-0.024","62798","62321","99.24","10359.57","86.11","-0.52","101.74","3"
"VEN-025","Lumitek Technologies","United States","Approved","14.26","59","971234.04","989114.17","15051.98","2828.15","0.29","83.05","-6021.54","-0.899","5972","5918","99.10","8851.33","84.48","-0.48","102.99","5"
"VEN-030","Northlight Technologies","Germany","Transactional","26.40","21","670517.98","685365.66","12279.41","2568.27","0.38","90.48","888.86","0.238","1764","1738","98.53","9800.57","80.95","0.43","102.51","3"
"VEN-021","Oribel Industries","Taiwan","Approved","7.24","22","591810.45","601906.50","10096.05","0.00","0.00","100.00","-2515.09","-0.423","10687","10610","99.28","4183.17","100.00","-1.43","104.39","2"
