"BuildID","BuildNumber","BuildDate","IsReleaseCandidate","SubsystemCode","SubsystemName","LinesChanged"
"B-001","1","2025-01-06","0","GND-CTRL","Ground Control Software","807"
"B-001","1","2025-01-06","0","PWR-MGMT","Power Management","851"
"B-002","2","2025-01-13","0","GND-CTRL","Ground Control Software","435"
"B-002","2","2025-01-13","0","PWR-MGMT","Power Management","498"
"B-003","3","2025-01-20","0","COMM-LNK","Command & Telemetry Link","766"
"B-003","3","2025-01-20","0","PWR-MGMT","Power Management","677"
"B-003","3","2025-01-20","0","REL-MECH","Payload Release Mechanism","714"
"B-004","4","2025-01-27","0","NAV-SENS","Navigation & Sensor Fusion","701"
"B-005","5","2025-02-03","0","DIAG-LOG","Diagnostics & Logging","361"
"B-005","5","2025-02-03","0","REL-MECH","Payload Release Mechanism","784"
"B-006","6","2025-02-10","0","GND-CTRL","Ground Control Software","724"
"B-006","6","2025-02-10","0","REL-MECH","Payload Release Mechanism","902"
"B-008","8","2025-02-24","0","COMM-LNK","Command & Telemetry Link","519"
"B-008","8","2025-02-24","0","DIAG-LOG","Diagnostics & Logging","850"
"B-008","8","2025-02-24","0","FLT-CTRL","Flight Control Interface","542"
"B-008","8","2025-02-24","0","PWR-MGMT","Power Management","257"
"B-009","9","2025-03-03","0","FLT-CTRL","Flight Control Interface","919"
"B-009","9","2025-03-03","0","GND-CTRL","Ground Control Software","341"
"B-009","9","2025-03-03","0","NAV-SENS","Navigation & Sensor Fusion","191"
"B-009","9","2025-03-03","0","PWR-MGMT","Power Management","33"
"B-009","9","2025-03-03","0","REL-MECH","Payload Release Mechanism","842"
"B-010","10","2025-03-10","0","FLT-CTRL","Flight Control Interface","29"
"B-010","10","2025-03-10","0","REL-MECH","Payload Release Mechanism","577"
"B-011","11","2025-03-17","0","FLT-CTRL","Flight Control Interface","370"
"B-011","11","2025-03-17","0","PWR-MGMT","Power Management","907"
"B-011","11","2025-03-17","0","REL-MECH","Payload Release Mechanism","689"
"B-012","12","2025-03-24","0","FLT-CTRL","Flight Control Interface","755"
"B-012","12","2025-03-24","0","PWR-MGMT","Power Management","398"
"B-012","12","2025-03-24","0","REL-MECH","Payload Release Mechanism","437"
"B-013","13","2025-03-31","0","DIAG-LOG","Diagnostics & Logging","26"
"B-013","13","2025-03-31","0","GND-CTRL","Ground Control Software","319"
"B-014","14","2025-04-07","0","FLT-CTRL","Flight Control Interface","297"
"B-014","14","2025-04-07","0","GND-CTRL","Ground Control Software","320"
"B-015","15","2025-04-14","0","COMM-LNK","Command & Telemetry Link","705"
"B-015","15","2025-04-14","0","FLT-CTRL","Flight Control Interface","450"
"B-015","15","2025-04-14","0","PWR-MGMT","Power Management","134"
"B-016","16","2025-04-21","0","COMM-LNK","Command & Telemetry Link","300"
"B-016","16","2025-04-21","0","DIAG-LOG","Diagnostics & Logging","805"
"B-016","16","2025-04-21","0","FLT-CTRL","Flight Control Interface","580"
"B-016","16","2025-04-21","0","STRUCT-I","Structural Interface","425"
"B-017","17","2025-04-28","0","REL-MECH","Payload Release Mechanism","24"
"B-017","17","2025-04-28","0","STRUCT-I","Structural Interface","357"
"B-019","19","2025-05-12","0","COMM-LNK","Command & Telemetry Link","26"
"B-019","19","2025-05-12","0","REL-MECH","Payload Release Mechanism","775"
"B-019","19","2025-05-12","0","STRUCT-I","Structural Interface","599"
"B-020","20","2025-05-19","0","DIAG-LOG","Diagnostics & Logging","886"
"B-021","21","2025-05-26","0","COMM-LNK","Command & Telemetry Link","90"
"B-021","21","2025-05-26","0","FLT-CTRL","Flight Control Interface","64"
"B-021","21","2025-05-26","0","STRUCT-I","Structural Interface","851"
"B-022","22","2025-06-02","0","FLT-CTRL","Flight Control Interface","261"
"B-022","22","2025-06-02","0","GND-CTRL","Ground Control Software","410"
"B-022","22","2025-06-02","0","PWR-MGMT","Power Management","621"
"B-022","22","2025-06-02","0","REL-MECH","Payload Release Mechanism","387"
"B-023","23","2025-06-09","0","STRUCT-I","Structural Interface","210"
"B-024","24","2025-06-16","0","DIAG-LOG","Diagnostics & Logging","773"
"B-024","24","2025-06-16","0","GND-CTRL","Ground Control Software","156"
"B-024","24","2025-06-16","0","REL-MECH","Payload Release Mechanism","738"
