"Probability","Impact","ExposureScore","ExposureBand"
"1","1","1","Low"
"1","2","2","Low"
"1","3","3","Low"
"1","4","8","Medium"
"1","5","10","High"
"2","1","2","Low"
"2","2","4","Low"
"2","3","6","Medium"
"2","4","10","Medium"
"2","5","15","High"
"3","1","3","Low"
"3","2","6","Medium"
"3","3","9","Medium"
"3","4","14","High"
"3","5","20","Critical"
"4","1","4","Low"
"4","2","8","Medium"
"4","3","14","High"
"4","4","18","High"
"4","5","24","Critical"
"5","1","5","Medium"
"5","2","10","Medium"
"5","3","17","High"
"5","4","22","Critical"
"5","5","25","Critical"
