"BuildNumber","BuildID","BuildDate","WorkItemCompletionPct","VerificationCoveragePct","ShipReadinessPct","StaleVerificationPct","ReadinessGapVsReported"
"40","B-040","10/6/2025 12:00:00 AM","84.11","27.17","4.63","69.89","79.48"
"44","B-044","11/3/2025 12:00:00 AM","87.32","30.06","2.85","84.62","84.47"
"48","B-048","12/1/2025 12:00:00 AM","85.86","33.72","2.85","78.38","83.01"
"52","B-052","12/29/2025 12:00:00 AM","86.64","36.80","6.05","72.58","80.59"
"56","B-056","1/26/2026 12:00:00 AM","87.39","39.69","7.47","72.06","79.92"
"60","B-060","2/23/2026 12:00:00 AM","87.45","41.43","1.78","90.71","85.67"
"64","B-064","3/23/2026 12:00:00 AM","87.70","43.74","4.27","84.62","83.43"
"68","B-068","4/20/2026 12:00:00 AM","87.01","46.05","3.56","86.83","83.45"
"72","B-072","5/18/2026 12:00:00 AM","87.98","54.72","4.63","83.77","83.35"
"76","B-076","6/15/2026 12:00:00 AM","89.18","71.68","19.93","53.17","69.25"
"80","B-080","7/13/2026 12:00:00 AM","90.01","71.68","10.68","75.79","79.33"
"84","B-084","8/10/2026 12:00:00 AM","93.31","84.39","25.62","51.32","67.69"
"88","B-088","9/7/2026 12:00:00 AM","93.86","96.53","51.96","24.48","41.90"
