"RequirementID","Title","ReqType","Priority","SubsystemCode","SubsystemName","Criticality","MinTestLevel","RequiresIndependentTester","TotalCases","CasesWithRuns","PassingCases","BlockedCases","LastPassBuild","LastGoodBuild","PassingButUnderLevelled","PassingButSelfVerified","HasEvidence","MeetsPolicy","StaleByCode","StaleByRequirement","IsCurrent","VerificationState","InterveningBuilds","AsOfBuild"
"REQ-0001","The subsystem shall complete, within budget, command & telemetry link behaviour case 1","Performance","MustShip","COMM-LNK","Command & Telemetry Link","Mission","HIL","0","4","4","4","0","88","88","2","0","1","1","0","0","1","Current","0","88"
"REQ-0002","The payload shall inhibit release when payload release mechanism behaviour case 2","Safety","ShouldShip","REL-MECH","Payload Release Mechanism","Safety","HIL","1","3","3","2","0","88","","0","2","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0003","The interface shall exchange, without loss, navigation & sensor fusion behaviour case 3","Interface","Nice","NAV-SENS","Navigation & Sensor Fusion","Mission","Integration","0","3","3","3","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0004","The system shall provide power management behaviour case 4","Functional","ShouldShip","PWR-MGMT","Power Management","Mission","Integration","0","1","1","1","0","88","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0005","The subsystem shall complete, within budget, command & telemetry link behaviour case 5","Performance","ShouldShip","COMM-LNK","Command & Telemetry Link","Mission","HIL","0","1","1","0","1","","","0","0","0","0","0","0","0","No evidence","0","88"
"REQ-0006","The interface shall exchange, without loss, structural interface behaviour case 6","Interface","MustShip","STRUCT-I","Structural Interface","Safety","Integration","0","4","4","4","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0007","The subsystem shall complete, within budget, ground control software behaviour case 7","Performance","ShouldShip","GND-CTRL","Ground Control Software","Support","HIL","0","1","1","1","0","88","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0008","The system shall provide command & telemetry link behaviour case 8","Functional","MustShip","COMM-LNK","Command & Telemetry Link","Mission","Integration","0","3","3","3","0","88","","3","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0009","The interface shall exchange, without loss, payload release mechanism behaviour case 9","Interface","MustShip","REL-MECH","Payload Release Mechanism","Safety","Integration","0","4","4","4","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0010","The system shall provide ground control software behaviour case 10","Functional","MustShip","GND-CTRL","Ground Control Software","Support","Integration","0","3","3","3","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0011","The subsystem shall complete, within budget, navigation & sensor fusion behaviour case 11","Performance","ShouldShip","NAV-SENS","Navigation & Sensor Fusion","Mission","HIL","0","4","4","2","1","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0012","The subsystem shall complete, within budget, diagnostics & logging behaviour case 12","Performance","MustShip","DIAG-LOG","Diagnostics & Logging","Support","HIL","0","2","2","2","0","88","39","1","0","1","1","1","0","0","Stale - subsystem changed","9","88"
"REQ-0013","The interface shall exchange, without loss, power management behaviour case 13","Interface","ShouldShip","PWR-MGMT","Power Management","Mission","Integration","0","3","3","3","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0014","The payload shall inhibit release when structural interface behaviour case 14","Safety","MustShip","STRUCT-I","Structural Interface","Safety","HIL","1","1","1","1","0","28","28","0","0","1","1","1","0","0","Stale - subsystem changed","10","88"
"REQ-0015","The interface shall exchange, without loss, power management behaviour case 15","Interface","MustShip","PWR-MGMT","Power Management","Mission","Integration","0","4","4","4","0","88","88","2","0","1","1","0","0","1","Current","0","88"
"REQ-0016","The system shall provide ground control software behaviour case 16","Functional","MustShip","GND-CTRL","Ground Control Software","Support","Integration","0","4","4","4","0","88","88","3","0","1","1","0","0","1","Current","0","88"
"REQ-0017","The interface shall exchange, without loss, diagnostics & logging behaviour case 17","Interface","Nice","DIAG-LOG","Diagnostics & Logging","Support","Integration","0","2","2","2","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0018","The subsystem shall complete, within budget, structural interface behaviour case 18","Performance","MustShip","STRUCT-I","Structural Interface","Safety","HIL","0","4","4","4","0","88","88","2","0","1","1","0","0","1","Current","0","88"
"REQ-0019","The payload shall inhibit release when navigation & sensor fusion behaviour case 19","Safety","MustShip","NAV-SENS","Navigation & Sensor Fusion","Mission","HIL","1","2","2","2","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0020","The system shall provide flight control interface behaviour case 20","Functional","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","Integration","0","2","2","2","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0021","The system shall provide power management behaviour case 21","Functional","ShouldShip","PWR-MGMT","Power Management","Mission","Integration","0","4","4","4","0","88","88","3","0","1","1","0","0","1","Current","0","88"
"REQ-0022","The system shall provide payload release mechanism behaviour case 22","Functional","MustShip","REL-MECH","Payload Release Mechanism","Safety","Integration","0","2","2","2","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0023","The interface shall exchange, without loss, navigation & sensor fusion behaviour case 23","Interface","MustShip","NAV-SENS","Navigation & Sensor Fusion","Mission","Integration","0","4","4","3","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0024","The system shall provide ground control software behaviour case 24","Functional","Nice","GND-CTRL","Ground Control Software","Support","Integration","0","4","4","4","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0025","The interface shall exchange, without loss, flight control interface behaviour case 25","Interface","MustShip","FLT-CTRL","Flight Control Interface","Safety","Integration","0","2","2","2","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0026","The payload shall inhibit release when payload release mechanism behaviour case 26","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","HIL","1","2","2","2","0","88","","1","1","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0027","The payload shall inhibit release when command & telemetry link behaviour case 27","Safety","MustShip","COMM-LNK","Command & Telemetry Link","Mission","HIL","1","4","4","4","0","88","33","3","0","1","1","1","0","0","Stale - subsystem changed","13","88"
"REQ-0028","The subsystem shall complete, within budget, navigation & sensor fusion behaviour case 28","Performance","MustShip","NAV-SENS","Navigation & Sensor Fusion","Mission","HIL","0","2","2","2","0","88","","2","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0029","The subsystem shall complete, within budget, navigation & sensor fusion behaviour case 29","Performance","MustShip","NAV-SENS","Navigation & Sensor Fusion","Mission","HIL","0","3","3","3","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0030","The system shall record, for certification, command & telemetry link behaviour case 30","Regulatory","ShouldShip","COMM-LNK","Command & Telemetry Link","Mission","Field","1","1","1","1","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0031","The subsystem shall complete, within budget, payload release mechanism behaviour case 31","Performance","Nice","REL-MECH","Payload Release Mechanism","Safety","HIL","0","4","4","4","0","88","","4","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0032","The subsystem shall complete, within budget, command & telemetry link behaviour case 32","Performance","ShouldShip","COMM-LNK","Command & Telemetry Link","Mission","HIL","0","2","2","1","1","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0033","The system shall provide ground control software behaviour case 33","Functional","MustShip","GND-CTRL","Ground Control Software","Support","Integration","0","2","2","2","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0034","The system shall record, for certification, flight control interface behaviour case 34","Regulatory","MustShip","FLT-CTRL","Flight Control Interface","Safety","Field","1","3","3","3","0","71","69","2","0","1","1","1","0","0","Stale - subsystem changed","14","88"
"REQ-0035","The payload shall inhibit release when flight control interface behaviour case 35","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","HIL","1","2","2","2","0","52","","2","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0036","The system shall provide flight control interface behaviour case 36","Functional","MustShip","FLT-CTRL","Flight Control Interface","Safety","Integration","0","2","2","2","0","66","66","0","0","1","1","1","0","0","Stale - subsystem changed","16","88"
"REQ-0037","The subsystem shall complete, within budget, payload release mechanism behaviour case 37","Performance","ShouldShip","REL-MECH","Payload Release Mechanism","Safety","HIL","0","4","4","4","0","88","62","3","0","1","1","1","0","0","Stale - subsystem changed","19","88"
"REQ-0038","The system shall provide navigation & sensor fusion behaviour case 38","Functional","MustShip","NAV-SENS","Navigation & Sensor Fusion","Mission","Integration","0","3","3","3","0","88","88","2","0","1","1","0","0","1","Current","0","88"
"REQ-0039","The system shall provide ground control software behaviour case 39","Functional","ShouldShip","GND-CTRL","Ground Control Software","Support","Integration","0","3","3","3","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0040","The system shall provide navigation & sensor fusion behaviour case 40","Functional","ShouldShip","NAV-SENS","Navigation & Sensor Fusion","Mission","Integration","0","3","3","3","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0041","The system shall provide diagnostics & logging behaviour case 41","Functional","MustShip","DIAG-LOG","Diagnostics & Logging","Support","Integration","0","1","1","1","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0042","The system shall record, for certification, command & telemetry link behaviour case 42","Regulatory","MustShip","COMM-LNK","Command & Telemetry Link","Mission","Field","1","3","3","2","1","88","","2","2","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0043","The payload shall inhibit release when flight control interface behaviour case 43","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","HIL","1","1","1","1","0","39","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0044","The payload shall inhibit release when power management behaviour case 44","Safety","ShouldShip","PWR-MGMT","Power Management","Mission","HIL","1","4","4","4","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0045","The interface shall exchange, without loss, command & telemetry link behaviour case 45","Interface","MustShip","COMM-LNK","Command & Telemetry Link","Mission","Integration","0","2","2","2","0","64","64","1","0","1","1","1","0","0","Stale - subsystem changed","1","88"
"REQ-0046","The system shall provide ground control software behaviour case 46","Functional","MustShip","GND-CTRL","Ground Control Software","Support","Integration","0","2","2","2","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0047","The subsystem shall complete, within budget, navigation & sensor fusion behaviour case 47","Performance","ShouldShip","NAV-SENS","Navigation & Sensor Fusion","Mission","HIL","0","3","3","3","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0048","The subsystem shall complete, within budget, command & telemetry link behaviour case 48","Performance","Nice","COMM-LNK","Command & Telemetry Link","Mission","HIL","0","1","1","1","0","88","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0049","The subsystem shall complete, within budget, command & telemetry link behaviour case 49","Performance","MustShip","COMM-LNK","Command & Telemetry Link","Mission","HIL","0","4","4","2","0","88","","2","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0050","The interface shall exchange, without loss, power management behaviour case 50","Interface","MustShip","PWR-MGMT","Power Management","Mission","Integration","0","2","2","2","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0051","The system shall provide command & telemetry link behaviour case 51","Functional","MustShip","COMM-LNK","Command & Telemetry Link","Mission","Integration","0","1","1","1","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0052","The interface shall exchange, without loss, navigation & sensor fusion behaviour case 52","Interface","ShouldShip","NAV-SENS","Navigation & Sensor Fusion","Mission","Integration","0","3","3","3","0","88","88","2","0","1","1","0","0","1","Current","0","88"
"REQ-0053","The payload shall inhibit release when payload release mechanism behaviour case 53","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","HIL","1","3","3","3","0","63","","2","1","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0054","The system shall provide navigation & sensor fusion behaviour case 54","Functional","MustShip","NAV-SENS","Navigation & Sensor Fusion","Mission","Integration","0","1","1","1","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0056","The system shall provide payload release mechanism behaviour case 56","Functional","Nice","REL-MECH","Payload Release Mechanism","Safety","Integration","0","3","3","3","0","88","88","2","0","1","1","0","0","1","Current","0","88"
"REQ-0057","The interface shall exchange, without loss, flight control interface behaviour case 57","Interface","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","Integration","0","1","1","1","0","43","43","0","0","1","1","1","0","0","Stale - subsystem changed","27","88"
"REQ-0058","The subsystem shall complete, within budget, flight control interface behaviour case 58","Performance","Nice","FLT-CTRL","Flight Control Interface","Safety","HIL","0","2","2","2","0","88","","2","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0059","The interface shall exchange, without loss, power management behaviour case 59","Interface","MustShip","PWR-MGMT","Power Management","Mission","Integration","0","1","1","1","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0060","The payload shall inhibit release when flight control interface behaviour case 60","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","HIL","1","3","3","3","0","88","53","1","1","1","1","1","0","0","Stale - subsystem changed","22","88"
"REQ-0061","The subsystem shall complete, within budget, power management behaviour case 61","Performance","Nice","PWR-MGMT","Power Management","Mission","HIL","0","4","4","3","1","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0062","The interface shall exchange, without loss, payload release mechanism behaviour case 62","Interface","MustShip","REL-MECH","Payload Release Mechanism","Safety","Integration","0","3","3","3","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0063","The system shall provide ground control software behaviour case 63","Functional","MustShip","GND-CTRL","Ground Control Software","Support","Integration","0","4","4","4","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0064","The interface shall exchange, without loss, flight control interface behaviour case 64","Interface","Nice","FLT-CTRL","Flight Control Interface","Safety","Integration","0","1","1","1","0","88","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0065","The system shall provide diagnostics & logging behaviour case 65","Functional","Nice","DIAG-LOG","Diagnostics & Logging","Support","Integration","0","1","1","1","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0066","The subsystem shall complete, within budget, power management behaviour case 66","Performance","Nice","PWR-MGMT","Power Management","Mission","HIL","0","2","2","2","0","88","","2","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0067","The system shall provide ground control software behaviour case 67","Functional","MustShip","GND-CTRL","Ground Control Software","Support","Integration","0","2","2","2","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0068","The interface shall exchange, without loss, payload release mechanism behaviour case 68","Interface","MustShip","REL-MECH","Payload Release Mechanism","Safety","Integration","0","4","4","4","0","88","88","2","0","1","1","0","0","1","Current","0","88"
"REQ-0069","The payload shall inhibit release when flight control interface behaviour case 69","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","HIL","1","4","4","3","1","59","59","2","0","1","1","1","0","0","Stale - subsystem changed","21","88"
"REQ-0070","The system shall provide command & telemetry link behaviour case 70","Functional","ShouldShip","COMM-LNK","Command & Telemetry Link","Mission","Integration","0","2","2","2","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0071","The subsystem shall complete, within budget, command & telemetry link behaviour case 71","Performance","MustShip","COMM-LNK","Command & Telemetry Link","Mission","HIL","0","2","2","2","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0072","The interface shall exchange, without loss, payload release mechanism behaviour case 72","Interface","MustShip","REL-MECH","Payload Release Mechanism","Safety","Integration","0","1","1","1","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0073","The interface shall exchange, without loss, command & telemetry link behaviour case 73","Interface","ShouldShip","COMM-LNK","Command & Telemetry Link","Mission","Integration","0","3","3","3","0","88","88","2","0","1","1","0","0","1","Current","0","88"
"REQ-0074","The system shall provide structural interface behaviour case 74","Functional","MustShip","STRUCT-I","Structural Interface","Safety","Integration","0","2","2","1","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0075","The interface shall exchange, without loss, power management behaviour case 75","Interface","MustShip","PWR-MGMT","Power Management","Mission","Integration","0","4","4","4","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0076","The subsystem shall complete, within budget, ground control software behaviour case 76","Performance","Nice","GND-CTRL","Ground Control Software","Support","HIL","0","1","1","1","0","88","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0077","The system shall provide payload release mechanism behaviour case 77","Functional","ShouldShip","REL-MECH","Payload Release Mechanism","Safety","Integration","0","2","2","2","0","69","69","0","0","1","1","1","0","0","Stale - subsystem changed","14","88"
"REQ-0078","The payload shall inhibit release when power management behaviour case 78","Safety","ShouldShip","PWR-MGMT","Power Management","Mission","HIL","1","4","4","4","0","88","88","2","1","1","1","0","0","1","Current","0","88"
"REQ-0079","The subsystem shall complete, within budget, diagnostics & logging behaviour case 79","Performance","Nice","DIAG-LOG","Diagnostics & Logging","Support","HIL","0","1","1","1","0","69","69","0","0","1","1","1","0","0","Stale - subsystem changed","2","88"
"REQ-0080","The payload shall inhibit release when flight control interface behaviour case 80","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","HIL","1","2","2","2","0","88","","2","2","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0081","The interface shall exchange, without loss, power management behaviour case 81","Interface","MustShip","PWR-MGMT","Power Management","Mission","Integration","0","3","3","3","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0082","The system shall provide navigation & sensor fusion behaviour case 82","Functional","ShouldShip","NAV-SENS","Navigation & Sensor Fusion","Mission","Integration","0","2","2","2","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0083","The system shall record, for certification, payload release mechanism behaviour case 83","Regulatory","MustShip","REL-MECH","Payload Release Mechanism","Safety","Field","1","2","2","2","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0085","The interface shall exchange, without loss, payload release mechanism behaviour case 85","Interface","MustShip","REL-MECH","Payload Release Mechanism","Safety","Integration","0","3","3","3","0","59","59","0","0","1","1","1","0","0","Stale - subsystem changed","21","88"
"REQ-0086","The interface shall exchange, without loss, power management behaviour case 86","Interface","ShouldShip","PWR-MGMT","Power Management","Mission","Integration","0","3","3","3","0","88","88","2","0","1","1","0","0","1","Current","0","88"
"REQ-0087","The system shall provide ground control software behaviour case 87","Functional","ShouldShip","GND-CTRL","Ground Control Software","Support","Integration","0","4","4","3","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0088","The subsystem shall complete, within budget, command & telemetry link behaviour case 88","Performance","ShouldShip","COMM-LNK","Command & Telemetry Link","Mission","HIL","0","3","3","2","1","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0089","The system shall record, for certification, payload release mechanism behaviour case 89","Regulatory","MustShip","REL-MECH","Payload Release Mechanism","Safety","Field","1","4","4","4","0","51","","4","1","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0090","The interface shall exchange, without loss, flight control interface behaviour case 90","Interface","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","Integration","0","4","4","4","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0091","The interface shall exchange, without loss, structural interface behaviour case 91","Interface","ShouldShip","STRUCT-I","Structural Interface","Safety","Integration","0","1","1","1","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0092","The payload shall inhibit release when structural interface behaviour case 92","Safety","MustShip","STRUCT-I","Structural Interface","Safety","HIL","1","2","2","2","0","88","31","0","1","1","1","1","0","0","Stale - subsystem changed","9","88"
"REQ-0093","The subsystem shall complete, within budget, power management behaviour case 93","Performance","MustShip","PWR-MGMT","Power Management","Mission","HIL","0","2","2","1","1","39","39","0","0","1","1","1","0","0","Stale - subsystem changed","4","88"
"REQ-0094","The payload shall inhibit release when structural interface behaviour case 94","Safety","MustShip","STRUCT-I","Structural Interface","Safety","HIL","1","3","3","3","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0095","The system shall provide command & telemetry link behaviour case 95","Functional","Nice","COMM-LNK","Command & Telemetry Link","Mission","Integration","0","1","1","1","0","88","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0097","The system shall provide navigation & sensor fusion behaviour case 97","Functional","MustShip","NAV-SENS","Navigation & Sensor Fusion","Mission","Integration","0","3","3","3","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0098","The system shall record, for certification, payload release mechanism behaviour case 98","Regulatory","ShouldShip","REL-MECH","Payload Release Mechanism","Safety","Field","1","3","3","3","0","88","88","0","1","1","1","0","0","1","Current","0","88"
"REQ-0099","The system shall provide command & telemetry link behaviour case 99","Functional","MustShip","COMM-LNK","Command & Telemetry Link","Mission","Integration","0","1","1","0","0","","","0","0","0","0","0","0","0","No evidence","0","88"
"REQ-0100","The system shall provide power management behaviour case 100","Functional","MustShip","PWR-MGMT","Power Management","Mission","Integration","0","4","4","3","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0101","The subsystem shall complete, within budget, command & telemetry link behaviour case 101","Performance","ShouldShip","COMM-LNK","Command & Telemetry Link","Mission","HIL","0","3","3","3","0","88","88","2","0","1","1","0","0","1","Current","0","88"
"REQ-0102","The interface shall exchange, without loss, power management behaviour case 102","Interface","MustShip","PWR-MGMT","Power Management","Mission","Integration","0","3","3","3","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0103","The interface shall exchange, without loss, command & telemetry link behaviour case 103","Interface","ShouldShip","COMM-LNK","Command & Telemetry Link","Mission","Integration","0","4","4","4","0","88","88","2","0","1","1","0","0","1","Current","0","88"
