"PriorityRank","InstallKey","ComponentSerial","ComponentCode","ComponentName","Criticality","TailNumber","BaseCode","BaseName","PositionNo","InstalledDate","FlightHours","StressHours","IntervalFlightHours","IntervalStressHours","PctOfHourInterval","PctOfStressInterval","IsOverdueByHours","IsOverdueByStress","IsHiddenOverdue","StressPerFlightHour","RemainingStressHours","ProjectedFlightHoursToStressLimit","LeadTimeFlightHours","ActionCode","JobHours","CumulativeJobHours","IsThisWeek","RecommendedAction"
"1","372","MOTOR-ESC-00100","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-008","HIGHLND","Highland Operations","2","11/28/2025 12:00:00 AM","186.2996","402.1619","200.0","200.0","93.15","201.08","0","1","1","2.3105","-202.1619","-87.50","12.0","GROUND_AND_REPLACE","4.5","4.50","1","Ground MU-008. Motor and speed controller at position 2 is at 201.08% of its stress interval while reading 93.15% on the hour meter."
"2","392","ROTOR-ASSY-00139","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-008","HIGHLND","Highland Operations","2","2/7/2026 12:00:00 AM","139.7328","308.1946","150.0","150.0","93.16","205.46","0","1","1","2.3105","-158.1946","-68.47","18.0","GROUND_AND_REPLACE","4.5","9.00","1","Ground MU-008. Rotor assembly and bearing at position 2 is at 205.46% of its stress interval while reading 93.16% on the hour meter."
"3","99","ROTOR-ASSY-00026","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-002","HIGHLND","Highland Operations","1","3/10/2026 12:00:00 AM","133.0167","302.8206","150.0","150.0","88.68","201.88","0","1","1","2.2807","-152.8206","-67.01","18.0","GROUND_AND_REPLACE","4.5","13.50","1","Ground MU-002. Rotor assembly and bearing at position 1 is at 201.88% of its stress interval while reading 88.68% on the hour meter."
"4","1503","ROTOR-ASSY-00545","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-030","PORT","Port Logistics Hub","4","2/27/2026 12:00:00 AM","147.0335","299.8295","150.0","150.0","98.02","199.89","0","1","1","1.9627","-149.8295","-76.34","18.0","GROUND_AND_REPLACE","4.5","18.00","1","Ground MU-030. Rotor assembly and bearing at position 4 is at 199.89% of its stress interval while reading 98.02% on the hour meter."
"5","722","MOTOR-ESC-00198","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-015","PORT","Port Logistics Hub","2","1/21/2026 12:00:00 AM","177.5832","348.3593","200.0","200.0","88.79","174.18","0","1","1","1.9216","-148.3593","-77.21","12.0","GROUND_AND_REPLACE","4.5","22.50","1","Ground MU-015. Motor and speed controller at position 2 is at 174.18% of its stress interval while reading 88.79% on the hour meter."
"6","23","MOTOR-ESC-00003","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-001","PORT","Port Logistics Hub","1","1/20/2026 12:00:00 AM","171.0173","343.0481","200.0","200.0","85.51","171.52","0","1","1","2.0638","-143.0481","-69.31","12.0","GROUND_AND_REPLACE","4.5","27.00","1","Ground MU-001. Motor and speed controller at position 1 is at 171.52% of its stress interval while reading 85.51% on the hour meter."
"7","26","MOTOR-ESC-00006","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-001","PORT","Port Logistics Hub","2","1/20/2026 12:00:00 AM","171.0173","343.0481","200.0","200.0","85.51","171.52","0","1","1","2.0638","-143.0481","-69.31","12.0","GROUND_AND_REPLACE","4.5","31.50","1","Ground MU-001. Motor and speed controller at position 2 is at 171.52% of its stress interval while reading 85.51% on the hour meter."
"8","85","MOTOR-ESC-00022","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-002","HIGHLND","Highland Operations","2","2/21/2026 12:00:00 AM","150.2001","341.8081","200.0","200.0","75.10","170.90","0","1","1","2.2807","-141.8081","-62.18","12.0","GROUND_AND_REPLACE","4.5","36.00","1","Ground MU-002. Motor and speed controller at position 2 is at 170.90% of its stress interval while reading 75.10% on the hour meter."
"9","1044","MOTOR-ESC-00284","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-021","ACADEMY","Training Academy","1","6/27/2025 12:00:00 AM","179.7000","336.7168","200.0","200.0","89.85","168.36","0","1","1","1.9149","-136.7168","-71.40","12.0","GROUND_AND_REPLACE","4.5","40.50","1","Ground MU-021. Motor and speed controller at position 1 is at 168.36% of its stress interval while reading 89.85% on the hour meter."
"10","1046","MOTOR-ESC-00286","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-021","ACADEMY","Training Academy","2","6/27/2025 12:00:00 AM","179.7000","336.7168","200.0","200.0","89.85","168.36","0","1","1","1.9149","-136.7168","-71.40","12.0","GROUND_AND_REPLACE","4.5","45.00","1","Ground MU-021. Motor and speed controller at position 2 is at 168.36% of its stress interval while reading 89.85% on the hour meter."
