"TailNumber","ModelCode","AirframeStatus","BaseCode","BaseName","Region","Sorties","Landings","FlightHours","StressHours","StressRatio","PctStressFromHours","PctStressFromCycles","PctStressFromPayload","DominantProfileCode","DominantProfileName","FirstSortie","LastSortie"
"MU-008","MRD-12H","Active","HIGHLND","Highland Operations","North Highlands","347","668","586.8497","1278.2178","2.1781","93.13","2.93","3.94","MOUNTAIN","Mountain survey","3/19/2024 12:00:00 AM","9/28/2026 12:00:00 AM"
"MU-002","MRD-8X","Active","HIGHLND","Highland Operations","North Highlands","385","686","655.2994","1425.0808","2.1747","93.48","2.67","3.84","MOUNTAIN","Mountain survey","1/12/2024 12:00:00 AM","9/29/2026 12:00:00 AM"
"MU-011","MRD-12H","Active","HIGHLND","Highland Operations","North Highlands","321","626","543.6339","1177.5038","2.1660","93.12","3.06","3.81","MOUNTAIN","Mountain survey","5/24/2024 12:00:00 AM","9/29/2026 12:00:00 AM"
"MU-018","MRD-12H","Active","HIGHLND","Highland Operations","North Highlands","361","660","613.8166","1327.7235","2.1631","93.15","2.70","4.14","MOUNTAIN","Mountain survey","2/13/2024 12:00:00 AM","9/30/2026 12:00:00 AM"
"MU-020","MRD-8X","Active","HIGHLND","Highland Operations","North Highlands","328","620","563.5328","1209.8567","2.1469","93.15","2.80","4.06","MOUNTAIN","Mountain survey","4/23/2024 12:00:00 AM","9/25/2026 12:00:00 AM"
"MU-025","MRD-8X","Active","HIGHLND","Highland Operations","North Highlands","367","731","624.5006","1339.5021","2.1449","93.38","3.19","3.43","MOUNTAIN","Mountain survey","2/15/2024 12:00:00 AM","9/26/2026 12:00:00 AM"
"MU-013","MRD-8X","Retired","HIGHLND","Highland Operations","North Highlands","204","395","343.9002","734.8054","2.1367","92.87","3.03","4.10","MOUNTAIN","Mountain survey","7/31/2024 12:00:00 AM","1/13/2026 12:00:00 AM"
"MU-027","MRD-8X","Active","HIGHLND","Highland Operations","North Highlands","301","543","518.4827","1083.3791","2.0895","93.27","2.66","4.07","MOUNTAIN","Mountain survey","8/5/2024 12:00:00 AM","9/30/2026 12:00:00 AM"
"MU-014","MRD-6L","Active","PORT","Port Logistics Hub","East Estuary","325","846","548.2840","1112.8355","2.0297","90.01","3.73","6.26","CARGO","Cargo relay","6/8/2024 12:00:00 AM","9/30/2026 12:00:00 AM"
"MU-030","MRD-8X","Active","PORT","Port Logistics Hub","East Estuary","300","808","497.1833","1005.6655","2.0227","89.90","3.93","6.17","CARGO","Cargo relay","8/26/2024 12:00:00 AM","9/30/2026 12:00:00 AM"
"MU-001","MRD-8X","Active","PORT","Port Logistics Hub","East Estuary","344","901","573.2333","1153.7900","2.0128","90.19","3.95","5.86","CARGO","Cargo relay","5/18/2024 12:00:00 AM","9/29/2026 12:00:00 AM"
"MU-016","MRD-6L","Active","PORT","Port Logistics Hub","East Estuary","357","887","621.8171","1244.1326","2.0008","90.49","3.42","6.09","CARGO","Cargo relay","4/18/2024 12:00:00 AM","9/30/2026 12:00:00 AM"
"MU-005","MRD-8X","Active","PORT","Port Logistics Hub","East Estuary","358","850","607.6494","1211.8254","1.9943","90.56","3.38","6.06","CARGO","Cargo relay","3/9/2024 12:00:00 AM","9/29/2026 12:00:00 AM"
"MU-019","MRD-8X","Active","PORT","Port Logistics Hub","East Estuary","400","1088","684.6162","1364.3112","1.9928","90.10","3.95","5.95","CARGO","Cargo relay","1/12/2024 12:00:00 AM","9/28/2026 12:00:00 AM"
"MU-015","MRD-12H","Active","PORT","Port Logistics Hub","East Estuary","324","762","580.8667","1150.9988","1.9815","90.67","3.14","6.18","CARGO","Cargo relay","7/22/2024 12:00:00 AM","9/29/2026 12:00:00 AM"
"MU-003","MRD-12H","Retired","PORT","Port Logistics Hub","East Estuary","230","577","392.0824","762.8057","1.9455","90.54","3.66","5.80","CARGO","Cargo relay","3/4/2024 12:00:00 AM","9/18/2025 12:00:00 AM"
"MU-021","MRD-8X","Active","ACADEMY","Training Academy","Central Plain","382","3076","380.1999","712.3306","1.8736","61.55","38.52","-0.07","TRAINING","Training and check ride","1/10/2024 12:00:00 AM","9/28/2026 12:00:00 AM"
"MU-026","MRD-8X","Active","ACADEMY","Training Academy","Central Plain","324","2592","326.0840","608.0506","1.8647","62.32","37.74","-0.06","TRAINING","Training and check ride","8/9/2024 12:00:00 AM","9/28/2026 12:00:00 AM"
"MU-007","MRD-12H","Active","ACADEMY","Training Academy","Central Plain","340","2698","337.9662","628.6641","1.8601","61.97","38.11","-0.08","TRAINING","Training and check ride","5/10/2024 12:00:00 AM","9/26/2026 12:00:00 AM"
"MU-028","MRD-8X","Active","ACADEMY","Training Academy","Central Plain","312","2450","315.3168","578.9008","1.8359","62.67","37.37","-0.05","TRAINING","Training and check ride","7/4/2024 12:00:00 AM","9/26/2026 12:00:00 AM"
"MU-023","MRD-6L","Active","COASTAL","Coastal Survey Base","West Coast","394","848","597.0672","734.0547","1.2294","94.91","4.52","0.57","COASTAL","Coastal survey","1/5/2024 12:00:00 AM","9/29/2026 12:00:00 AM"
"MU-022","MRD-6L","Active","COASTAL","Coastal Survey Base","West Coast","379","825","583.0335","697.1258","1.1957","94.98","4.51","0.51","COASTAL","Coastal survey","3/12/2024 12:00:00 AM","9/30/2026 12:00:00 AM"
"MU-031","MRD-8X","Active","COASTAL","Coastal Survey Base","West Coast","298","651","456.7499","543.9756","1.1910","94.95","4.58","0.47","COASTAL","Coastal survey","8/10/2024 12:00:00 AM","9/28/2026 12:00:00 AM"
"MU-012","MRD-8X","Active","COASTAL","Coastal Survey Base","West Coast","351","741","534.9663","635.2370","1.1874","94.99","4.51","0.49","COASTAL","Coastal survey","3/27/2024 12:00:00 AM","9/30/2026 12:00:00 AM"
"MU-029","MRD-12H","Active","COASTAL","Coastal Survey Base","West Coast","345","722","514.2334","606.8661","1.1801","95.13","4.37","0.49","COASTAL","Coastal survey","3/16/2024 12:00:00 AM","9/30/2026 12:00:00 AM"
"MU-006","MRD-8X","Active","COASTAL","Coastal Survey Base","West Coast","372","781","560.2833","655.0659","1.1692","95.20","4.34","0.46","COASTAL","Coastal survey","2/10/2024 12:00:00 AM","9/30/2026 12:00:00 AM"
"MU-004","MRD-12H","Active","COASTAL","Coastal Survey Base","West Coast","372","787","567.1332","655.9375","1.1566","95.17","4.51","0.32","COASTAL","Coastal survey","6/5/2024 12:00:00 AM","9/30/2026 12:00:00 AM"
"MU-024","MRD-8X","Active","COASTAL","Coastal Survey Base","West Coast","396","846","605.7506","700.3939","1.1562","95.18","4.47","0.36","COASTAL","Coastal survey","1/31/2024 12:00:00 AM","9/30/2026 12:00:00 AM"
"MU-009","MRD-8X","Active","COASTAL","Coastal Survey Base","West Coast","416","845","639.5162","738.9042","1.1554","95.47","4.14","0.39","COASTAL","Coastal survey","1/17/2024 12:00:00 AM","9/25/2026 12:00:00 AM"
"MU-017","MRD-12H","Retired","COASTAL","Coastal Survey Base","West Coast","243","533","374.5833","420.5154","1.1226","95.18","4.60","0.22","COASTAL","Coastal survey","7/30/2024 12:00:00 AM","3/27/2026 12:00:00 AM"
"MU-010","MRD-12H","Active","COASTAL","Coastal Survey Base","West Coast","325","620","513.7168","575.1012","1.1195","96.23","3.50","0.27","COASTAL","Coastal survey","4/10/2024 12:00:00 AM","9/30/2026 12:00:00 AM"
