"InstallKey","ComponentSerial","ComponentCode","TailNumber","BaseCode","LeadTimeFlightHours","IsFailure","RemovedDate","Alerted","AlertDate","AlertVibRatio","LeadTimeGivenFlightHours","LeadTimeGivenStressHours","TruePositive","ActionableTruePositive","LateTruePositive","FalsePositive","FalseNegative","TrueNegative"
"21","MOTOR-ESC-00001","MOTOR-ESC","MU-001","PORT","12.0","0","4/4/2025 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"22","MOTOR-ESC-00002","MOTOR-ESC","MU-001","PORT","12.0","0","1/20/2026 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"24","MOTOR-ESC-00004","MOTOR-ESC","MU-001","PORT","12.0","0","4/4/2025 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"25","MOTOR-ESC-00005","MOTOR-ESC","MU-001","PORT","12.0","0","1/20/2026 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"27","MOTOR-ESC-00007","MOTOR-ESC","MU-001","PORT","12.0","1","11/29/2024 12:00:00 AM","1","11/18/2024 12:00:00 AM","3.5728","5.4834","11.8710","1","0","1","0","0","0"
"28","MOTOR-ESC-00008","MOTOR-ESC","MU-001","PORT","12.0","1","9/15/2025 12:00:00 AM","1","8/30/2025 12:00:00 AM","3.4438","11.5500","25.1469","1","0","1","0","0","0"
"29","MOTOR-ESC-00009","MOTOR-ESC","MU-001","PORT","12.0","1","3/13/2026 12:00:00 AM","1","3/4/2026 12:00:00 AM","3.4308","9.3333","14.8070","1","0","1","0","0","0"
"31","MOTOR-ESC-00011","MOTOR-ESC","MU-001","PORT","12.0","0","4/4/2025 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"32","MOTOR-ESC-00012","MOTOR-ESC","MU-001","PORT","12.0","0","1/20/2026 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"33","MOTOR-ESC-00013","MOTOR-ESC","MU-001","PORT","12.0","1","8/26/2026 12:00:00 AM","1","8/5/2026 12:00:00 AM","3.4322","9.3334","19.1995","1","0","1","0","0","0"
"78","MOTOR-ESC-00015","MOTOR-ESC","MU-002","HIGHLND","12.0","0","11/18/2024 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"79","MOTOR-ESC-00016","MOTOR-ESC","MU-002","HIGHLND","12.0","0","9/3/2025 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"80","MOTOR-ESC-00017","MOTOR-ESC","MU-002","HIGHLND","12.0","0","7/24/2026 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"82","MOTOR-ESC-00019","MOTOR-ESC","MU-002","HIGHLND","12.0","1","8/19/2024 12:00:00 AM","1","8/3/2024 12:00:00 AM","3.5611","10.1833","15.3362","1","0","1","0","0","0"
"83","MOTOR-ESC-00020","MOTOR-ESC","MU-002","HIGHLND","12.0","0","7/4/2025 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"84","MOTOR-ESC-00021","MOTOR-ESC","MU-002","HIGHLND","12.0","1","2/21/2026 12:00:00 AM","1","2/6/2026 12:00:00 AM","3.4649","8.3833","21.2306","1","0","1","0","0","0"
"86","MOTOR-ESC-00023","MOTOR-ESC","MU-002","HIGHLND","12.0","0","11/18/2024 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"87","MOTOR-ESC-00024","MOTOR-ESC","MU-002","HIGHLND","12.0","0","9/3/2025 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"88","MOTOR-ESC-00025","MOTOR-ESC","MU-002","HIGHLND","12.0","0","7/24/2026 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"90","MOTOR-ESC-00027","MOTOR-ESC","MU-002","HIGHLND","12.0","1","10/9/2024 12:00:00 AM","1","10/2/2024 12:00:00 AM","3.5784","4.9000","11.9474","1","0","1","0","0","0"
"91","MOTOR-ESC-00028","MOTOR-ESC","MU-002","HIGHLND","12.0","0","8/9/2025 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"92","MOTOR-ESC-00029","MOTOR-ESC","MU-002","HIGHLND","12.0","1","5/18/2026 12:00:00 AM","1","4/27/2026 12:00:00 AM","3.5121","8.0000","16.8193","1","0","1","0","0","0"
"132","MOTOR-ESC-00031","MOTOR-ESC","MU-003","PORT","12.0","1","12/28/2024 12:00:00 AM","1","12/16/2024 12:00:00 AM","3.5239","12.1499","26.0691","1","1","0","0","0","0"
"133","MOTOR-ESC-00032","MOTOR-ESC","MU-003","PORT","12.0","1","9/2/2025 12:00:00 AM","1","8/27/2025 12:00:00 AM","3.6421","7.9999","16.8327","1","0","1","0","0","0"
"135","MOTOR-ESC-00034","MOTOR-ESC","MU-003","PORT","12.0","0","12/28/2024 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"137","MOTOR-ESC-00036","MOTOR-ESC","MU-003","PORT","12.0","0","12/28/2024 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"139","MOTOR-ESC-00038","MOTOR-ESC","MU-003","PORT","12.0","1","12/11/2024 12:00:00 AM","1","11/20/2024 12:00:00 AM","3.4163","10.6667","17.9818","1","0","1","0","0","0"
"140","MOTOR-ESC-00039","MOTOR-ESC","MU-003","PORT","12.0","0","9/3/2025 12:00:00 AM","1","8/28/2025 12:00:00 AM","3.6296","7.6999","16.1803","0","0","0","1","0","0"
"173","MOTOR-ESC-00041","MOTOR-ESC","MU-004","COASTAL","12.0","0","3/20/2025 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"174","MOTOR-ESC-00042","MOTOR-ESC","MU-004","COASTAL","12.0","0","1/6/2026 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"176","MOTOR-ESC-00044","MOTOR-ESC","MU-004","COASTAL","12.0","0","3/20/2025 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"177","MOTOR-ESC-00045","MOTOR-ESC","MU-004","COASTAL","12.0","0","1/6/2026 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"179","MOTOR-ESC-00047","MOTOR-ESC","MU-004","COASTAL","12.0","0","3/20/2025 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"180","MOTOR-ESC-00048","MOTOR-ESC","MU-004","COASTAL","12.0","0","1/6/2026 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"182","MOTOR-ESC-00050","MOTOR-ESC","MU-004","COASTAL","12.0","0","3/20/2025 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"183","MOTOR-ESC-00051","MOTOR-ESC","MU-004","COASTAL","12.0","0","1/6/2026 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"222","MOTOR-ESC-00053","MOTOR-ESC","MU-005","PORT","12.0","0","1/21/2025 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"223","MOTOR-ESC-00054","MOTOR-ESC","MU-005","PORT","12.0","0","11/20/2025 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"224","MOTOR-ESC-00055","MOTOR-ESC","MU-005","PORT","12.0","1","7/20/2026 12:00:00 AM","1","7/10/2026 12:00:00 AM","3.5059","8.5833","18.1117","1","0","1","0","0","0"
"226","MOTOR-ESC-00057","MOTOR-ESC","MU-005","PORT","12.0","0","1/21/2025 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"227","MOTOR-ESC-00058","MOTOR-ESC","MU-005","PORT","12.0","0","11/20/2025 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"228","MOTOR-ESC-00059","MOTOR-ESC","MU-005","PORT","12.0","0","9/29/2026 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"230","MOTOR-ESC-00061","MOTOR-ESC","MU-005","PORT","12.0","0","1/21/2025 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"231","MOTOR-ESC-00062","MOTOR-ESC","MU-005","PORT","12.0","0","11/20/2025 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"232","MOTOR-ESC-00063","MOTOR-ESC","MU-005","PORT","12.0","1","2/17/2026 12:00:00 AM","1","2/13/2026 12:00:00 AM","3.8085","3.7666","8.3410","1","0","1","0","0","0"
"234","MOTOR-ESC-00065","MOTOR-ESC","MU-005","PORT","12.0","0","1/21/2025 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"235","MOTOR-ESC-00066","MOTOR-ESC","MU-005","PORT","12.0","0","11/20/2025 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"236","MOTOR-ESC-00067","MOTOR-ESC","MU-005","PORT","12.0","1","4/24/2026 12:00:00 AM","1","4/16/2026 12:00:00 AM","3.4114","6.0667","13.3693","1","0","1","0","0","0"
"237","MOTOR-ESC-00068","MOTOR-ESC","MU-005","PORT","12.0","1","7/24/2026 12:00:00 AM","1","7/21/2026 12:00:00 AM","3.9133","1.9833","4.4622","1","0","1","0","0","0"
"280","MOTOR-ESC-00070","MOTOR-ESC","MU-006","COASTAL","12.0","0","2/1/2025 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"281","MOTOR-ESC-00071","MOTOR-ESC","MU-006","COASTAL","12.0","1","8/19/2025 12:00:00 AM","1","8/5/2025 12:00:00 AM","3.4906","8.5166","10.0562","1","0","1","0","0","0"
"282","MOTOR-ESC-00072","MOTOR-ESC","MU-006","COASTAL","12.0","0","8/6/2026 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"284","MOTOR-ESC-00074","MOTOR-ESC","MU-006","COASTAL","12.0","0","2/1/2025 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"285","MOTOR-ESC-00075","MOTOR-ESC","MU-006","COASTAL","12.0","1","10/10/2025 12:00:00 AM","1","9/16/2025 12:00:00 AM","3.4186","10.7833","11.5973","1","0","1","0","0","0"
"286","MOTOR-ESC-00076","MOTOR-ESC","MU-006","COASTAL","12.0","0","9/17/2026 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"288","MOTOR-ESC-00078","MOTOR-ESC","MU-006","COASTAL","12.0","0","2/1/2025 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"289","MOTOR-ESC-00079","MOTOR-ESC","MU-006","COASTAL","12.0","0","1/6/2026 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"291","MOTOR-ESC-00081","MOTOR-ESC","MU-006","COASTAL","12.0","0","2/1/2025 12:00:00 AM","0","","","","","0","0","0","0","0","1"
"292","MOTOR-ESC-00082","MOTOR-ESC","MU-006","COASTAL","12.0","0","1/6/2026 12:00:00 AM","0","","","","","0","0","0","0","0","1"
