"MonthEndDate","MetricName","MetricValue"
"10/31/2024 12:00:00 AM","HourCompliancePct","99.50"
"10/31/2024 12:00:00 AM","OverdueFlightCritical","109.00"
"10/31/2024 12:00:00 AM","StressCompliancePct","69.92"
"10/31/2024 12:00:00 AM","UnscheduledRatePct","57.14"
"11/30/2024 12:00:00 AM","HourCompliancePct","100.00"
"11/30/2024 12:00:00 AM","OverdueFlightCritical","94.00"
"11/30/2024 12:00:00 AM","StressCompliancePct","71.93"
"11/30/2024 12:00:00 AM","UnscheduledRatePct","48.54"
"12/31/2024 12:00:00 AM","HourCompliancePct","100.00"
"12/31/2024 12:00:00 AM","OverdueFlightCritical","106.00"
"12/31/2024 12:00:00 AM","StressCompliancePct","68.09"
"12/31/2024 12:00:00 AM","UnscheduledRatePct","48.33"
"1/31/2025 12:00:00 AM","HourCompliancePct","99.00"
"1/31/2025 12:00:00 AM","OverdueFlightCritical","98.00"
"1/31/2025 12:00:00 AM","StressCompliancePct","69.17"
"1/31/2025 12:00:00 AM","UnscheduledRatePct","45.00"
"2/28/2025 12:00:00 AM","HourCompliancePct","100.00"
"2/28/2025 12:00:00 AM","OverdueFlightCritical","104.00"
"2/28/2025 12:00:00 AM","StressCompliancePct","66.67"
"2/28/2025 12:00:00 AM","UnscheduledRatePct","44.25"
"3/31/2025 12:00:00 AM","HourCompliancePct","100.00"
"3/31/2025 12:00:00 AM","OverdueFlightCritical","115.00"
"3/31/2025 12:00:00 AM","StressCompliancePct","62.75"
"3/31/2025 12:00:00 AM","UnscheduledRatePct","42.86"
"4/30/2025 12:00:00 AM","HourCompliancePct","100.00"
"4/30/2025 12:00:00 AM","OverdueFlightCritical","114.00"
"4/30/2025 12:00:00 AM","StressCompliancePct","61.85"
"4/30/2025 12:00:00 AM","UnscheduledRatePct","40.32"
"5/31/2025 12:00:00 AM","HourCompliancePct","100.00"
"5/31/2025 12:00:00 AM","OverdueFlightCritical","109.00"
"5/31/2025 12:00:00 AM","StressCompliancePct","63.00"
"5/31/2025 12:00:00 AM","UnscheduledRatePct","39.04"
"6/30/2025 12:00:00 AM","HourCompliancePct","100.00"
"6/30/2025 12:00:00 AM","OverdueFlightCritical","106.00"
"6/30/2025 12:00:00 AM","StressCompliancePct","63.84"
"6/30/2025 12:00:00 AM","UnscheduledRatePct","36.77"
"7/31/2025 12:00:00 AM","HourCompliancePct","100.00"
