"InstallKey","ComponentSerial","ComponentCode","ComponentName","Criticality","LeadTimeFlightHours","TailNumber","ModelCode","BaseCode","BaseName","PositionNo","InstalledDate","RemovedDate","RemovalReason","DaysFitted","Sorties","Landings","FlightHours","StressHours","StressRatio","IntervalFlightHours","IntervalStressHours","WeibullShape","PctOfHourInterval","PctOfStressInterval","IsFailure","IsCensored","EventType","DowntimeHours"
"0","AIRDATA-00001","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-001","MRD-8X","PORT","Port Logistics Hub","1","5/16/2024 12:00:00 AM","1/19/2026 12:00:00 AM","Scheduled","613","241","655","400.1827","806.1466","2.0144","400.0","400.0","1.05","100.05","201.54","0","1","Scheduled","4.7"
"55","AIRDATA-00003","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-002","MRD-8X","HIGHLND","Highland Operations","1","1/12/2024 12:00:00 AM","7/30/2025 12:00:00 AM","Failure","565","215","377","369.7993","798.6010","2.1596","400.0","400.0","1.05","92.45","199.65","1","0","Unscheduled","5.1"
"117","AIRDATA-00005","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-003","MRD-12H","PORT","Port Logistics Hub","1","3/3/2024 12:00:00 AM","1/28/2025 12:00:00 AM","Failure","331","133","350","220.7830","422.7914","1.9150","400.0","400.0","1.05","55.20","105.70","1","0","Unscheduled","11.6"
"118","AIRDATA-00006","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-003","MRD-12H","PORT","Port Logistics Hub","1","1/28/2025 12:00:00 AM","9/21/2025 12:00:00 AM","AirframeRetired","236","97","227","171.2994","340.0143","1.9849","400.0","400.0","1.05","42.82","85.00","0","1","Inspection","2.6"
"156","AIRDATA-00007","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-004","MRD-12H","COASTAL","Coastal Survey Base","1","6/3/2024 12:00:00 AM","1/6/2026 12:00:00 AM","Scheduled","582","265","566","402.7002","467.6941","1.1614","400.0","400.0","1.05","100.68","116.92","0","1","Scheduled","3.6"
"203","AIRDATA-00009","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-005","MRD-8X","PORT","Port Logistics Hub","1","3/9/2024 12:00:00 AM","11/19/2025 12:00:00 AM","Scheduled","620","240","591","403.1496","797.6916","1.9786","400.0","400.0","1.05","100.79","199.42","0","1","Scheduled","3.8"
"263","AIRDATA-00011","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-006","MRD-8X","COASTAL","Coastal Survey Base","1","2/10/2024 12:00:00 AM","1/6/2026 12:00:00 AM","Scheduled","696","271","580","404.4330","474.2574","1.1726","400.0","400.0","1.05","101.11","118.56","0","1","Scheduled","2.4"
"346","AIRDATA-00014","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-008","MRD-12H","HIGHLND","Highland Operations","1","3/16/2024 12:00:00 AM","11/28/2025 12:00:00 AM","Scheduled","622","236","447","400.5501","876.0559","2.1871","400.0","400.0","1.05","100.14","219.01","0","1","Scheduled","3.8"
"404","AIRDATA-00016","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-009","MRD-8X","COASTAL","Coastal Survey Base","1","1/13/2024 12:00:00 AM","9/20/2025 12:00:00 AM","Scheduled","616","261","524","400.1827","454.1167","1.1348","400.0","400.0","1.05","100.05","113.53","0","1","Scheduled","4.1"
"460","AIRDATA-00018","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-010","MRD-12H","COASTAL","Coastal Survey Base","1","4/9/2024 12:00:00 AM","4/16/2026 12:00:00 AM","Scheduled","737","259","497","405.1167","457.3522","1.1289","400.0","400.0","1.05","101.28","114.34","0","1","Scheduled","1.8"
"506","AIRDATA-00020","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-011","MRD-12H","HIGHLND","Highland Operations","1","5/24/2024 12:00:00 AM","8/12/2024 12:00:00 AM","Failure","80","29","54","48.1335","101.1365","2.1012","400.0","400.0","1.05","12.03","25.28","1","0","Unscheduled","11.9"
"507","AIRDATA-00021","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-011","MRD-12H","HIGHLND","Highland Operations","1","8/12/2024 12:00:00 AM","5/1/2026 12:00:00 AM","Scheduled","627","237","469","401.6005","871.8470","2.1709","400.0","400.0","1.05","100.40","217.96","0","1","Scheduled","1.9"
"559","AIRDATA-00023","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-012","MRD-8X","COASTAL","Coastal Survey Base","1","3/23/2024 12:00:00 AM","2/21/2026 12:00:00 AM","Scheduled","700","263","556","400.8666","476.1002","1.1877","400.0","400.0","1.05","100.22","119.03","0","1","Scheduled","4.4"
"605","AIRDATA-00025","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-013","MRD-8X","HIGHLND","Highland Operations","1","7/27/2024 12:00:00 AM","1/14/2026 12:00:00 AM","AirframeRetired","536","204","395","343.9002","734.8054","2.1367","400.0","400.0","1.05","85.98","183.70","0","1","Inspection","3.7"
"641","AIRDATA-00026","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-014","MRD-6L","PORT","Port Logistics Hub","1","6/5/2024 12:00:00 AM","2/17/2026 12:00:00 AM","Scheduled","622","239","621","400.1674","818.9648","2.0466","400.0","400.0","1.05","100.04","204.74","0","1","Scheduled","2.7"
"694","AIRDATA-00028","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-015","MRD-12H","PORT","Port Logistics Hub","1","7/21/2024 12:00:00 AM","1/17/2026 12:00:00 AM","Scheduled","545","226","556","401.9502","799.6095","1.9893","400.0","400.0","1.05","100.49","199.90","0","1","Scheduled","4.2"
"752","AIRDATA-00030","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-016","MRD-6L","PORT","Port Logistics Hub","1","4/17/2024 12:00:00 AM","11/28/2025 12:00:00 AM","Scheduled","590","230","580","401.9171","808.2554","2.0110","400.0","400.0","1.05","100.48","202.06","0","1","Scheduled","3.2"
"811","AIRDATA-00032","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-017","MRD-12H","COASTAL","Coastal Survey Base","1","7/30/2024 12:00:00 AM","3/30/2026 12:00:00 AM","AirframeRetired","608","243","533","374.5833","420.5154","1.1226","400.0","400.0","1.05","93.65","105.13","0","1","Inspection","4.5"
"846","AIRDATA-00033","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-018","MRD-12H","HIGHLND","Highland Operations","1","2/13/2024 12:00:00 AM","4/6/2024 12:00:00 AM","Failure","53","26","41","46.8500","96.0243","2.0496","400.0","400.0","1.05","11.71","24.01","1","0","Unscheduled","4.9"
"847","AIRDATA-00034","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-018","MRD-12H","HIGHLND","Highland Operations","1","4/6/2024 12:00:00 AM","12/26/2025 12:00:00 AM","Scheduled","629","236","438","401.5995","874.1497","2.1767","400.0","400.0","1.05","100.40","218.54","0","1","Scheduled","4.2"
"910","AIRDATA-00036","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-019","MRD-8X","PORT","Port Logistics Hub","1","1/12/2024 12:00:00 AM","8/26/2025 12:00:00 AM","Scheduled","592","235","644","402.3498","802.7264","1.9951","400.0","400.0","1.05","100.59","200.68","0","1","Scheduled","4.0"
"911","AIRDATA-00037","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-019","MRD-8X","PORT","Port Logistics Hub","1","8/26/2025 12:00:00 AM","11/10/2025 12:00:00 AM","Failure","76","32","96","54.3667","114.7594","2.1108","400.0","400.0","1.05","13.59","28.69","1","0","Unscheduled","12.6"
"912","AIRDATA-00038","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-019","MRD-8X","PORT","Port Logistics Hub","1","11/10/2025 12:00:00 AM","7/30/2026 12:00:00 AM","Failure","262","109","284","188.5498","375.2474","1.9902","400.0","400.0","1.05","47.14","93.81","1","0","Unscheduled","5.2"
"975","AIRDATA-00040","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-020","MRD-8X","HIGHLND","Highland Operations","1","4/18/2024 12:00:00 AM","1/29/2026 12:00:00 AM","Scheduled","651","236","430","404.0499","870.7193","2.1550","400.0","400.0","1.05","101.01","217.68","0","1","Scheduled","3.8"
"1066","AIRDATA-00043","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-022","MRD-6L","COASTAL","Coastal Survey Base","1","3/10/2024 12:00:00 AM","12/4/2025 12:00:00 AM","Scheduled","634","254","527","401.1332","472.5371","1.1780","400.0","400.0","1.05","100.28","118.13","0","1","Scheduled","3.2"
"1113","AIRDATA-00045","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-023","MRD-6L","COASTAL","Coastal Survey Base","1","1/4/2024 12:00:00 AM","10/28/2025 12:00:00 AM","Scheduled","663","261","566","400.3839","494.9407","1.2362","400.0","400.0","1.05","100.10","123.74","0","1","Scheduled","2.4"
"1163","AIRDATA-00047","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-024","MRD-8X","COASTAL","Coastal Survey Base","1","1/28/2024 12:00:00 AM","11/6/2025 12:00:00 AM","Scheduled","648","262","575","401.0667","468.8781","1.1691","400.0","400.0","1.05","100.27","117.22","0","1","Scheduled","2.9"
"1219","AIRDATA-00049","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-025","MRD-8X","HIGHLND","Highland Operations","1","2/15/2024 12:00:00 AM","9/27/2025 12:00:00 AM","Scheduled","590","236","471","400.8675","859.2835","2.1436","400.0","400.0","1.05","100.22","214.82","0","1","Scheduled","2.2"
"1220","AIRDATA-00050","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-025","MRD-8X","HIGHLND","Highland Operations","1","9/27/2025 12:00:00 AM","9/8/2026 12:00:00 AM","Failure","346","125","249","214.7331","460.1140","2.1427","400.0","400.0","1.05","53.68","115.03","1","0","Unscheduled","9.0"
"1285","AIRDATA-00052","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-026","MRD-8X","ACADEMY","Training Academy","1","8/9/2024 12:00:00 AM","12/24/2025 12:00:00 AM","Failure","502","212","1700","215.6836","400.0810","1.8549","400.0","400.0","1.05","53.92","100.02","1","0","Unscheduled","9.9"
"1322","AIRDATA-00054","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-027","MRD-8X","HIGHLND","Highland Operations","1","8/2/2024 12:00:00 AM","4/21/2026 12:00:00 AM","Scheduled","627","235","433","405.6995","853.9180","2.1048","400.0","400.0","1.05","101.42","213.48","0","1","Scheduled","1.7"
"1408","AIRDATA-00057","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-029","MRD-12H","COASTAL","Coastal Survey Base","1","3/16/2024 12:00:00 AM","3/28/2026 12:00:00 AM","Scheduled","742","269","565","402.5002","474.7192","1.1794","400.0","400.0","1.05","100.63","118.68","0","1","Scheduled","1.6"
"1457","AIRDATA-00059","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-030","MRD-8X","PORT","Port Logistics Hub","1","8/26/2024 12:00:00 AM","5/25/2026 12:00:00 AM","Scheduled","637","248","654","403.9334","814.9570","2.0176","400.0","400.0","1.05","100.98","203.74","0","1","Scheduled","4.1"
"1504","AIRDATA-00061","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-031","MRD-8X","COASTAL","Coastal Survey Base","1","8/10/2024 12:00:00 AM","7/15/2026 12:00:00 AM","Scheduled","704","262","585","402.1667","482.1581","1.1989","400.0","400.0","1.05","100.54","120.54","0","1","Scheduled","4.2"
"2","BATT-PACK-00001","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-001","MRD-8X","PORT","Port Logistics Hub","1","5/16/2024 12:00:00 AM","11/18/2024 12:00:00 AM","Scheduled","186","73","208","120.9663","238.7747","1.9739","120.0","120.0","1.80","100.81","198.98","0","1","Scheduled","7.7"
"3","BATT-PACK-00002","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-001","MRD-8X","PORT","Port Logistics Hub","1","11/18/2024 12:00:00 AM","5/27/2025 12:00:00 AM","Scheduled","190","73","192","121.3832","246.1457","2.0278","120.0","120.0","1.80","101.15","205.12","0","1","Scheduled","3.2"
"4","BATT-PACK-00003","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-001","MRD-8X","PORT","Port Logistics Hub","1","5/27/2025 12:00:00 AM","11/20/2025 12:00:00 AM","Scheduled","177","74","206","120.7166","243.3234","2.0157","120.0","120.0","1.80","100.60","202.77","0","1","Scheduled","5.0"
"5","BATT-PACK-00004","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-001","MRD-8X","PORT","Port Logistics Hub","1","11/20/2025 12:00:00 AM","12/3/2025 12:00:00 AM","Failure","13","6","10","11.1833","24.8316","2.2204","120.0","120.0","1.80","9.32","20.69","1","0","Unscheduled","15.7"
"6","BATT-PACK-00005","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-001","MRD-8X","PORT","Port Logistics Hub","1","12/3/2025 12:00:00 AM","6/2/2026 12:00:00 AM","Scheduled","181","72","177","120.5171","238.8358","1.9818","120.0","120.0","1.80","100.43","199.03","0","1","Scheduled","6.8"
"8","BATT-PACK-00007","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-001","MRD-8X","PORT","Port Logistics Hub","2","5/16/2024 12:00:00 AM","11/18/2024 12:00:00 AM","Scheduled","186","73","208","120.9663","238.7747","1.9739","120.0","120.0","1.80","100.81","198.98","0","1","Scheduled","8.3"
"9","BATT-PACK-00008","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-001","MRD-8X","PORT","Port Logistics Hub","2","11/18/2024 12:00:00 AM","5/27/2025 12:00:00 AM","Scheduled","190","73","192","121.3832","246.1457","2.0278","120.0","120.0","1.80","101.15","205.12","0","1","Scheduled","6.1"
"10","BATT-PACK-00009","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-001","MRD-8X","PORT","Port Logistics Hub","2","5/27/2025 12:00:00 AM","7/2/2025 12:00:00 AM","Failure","36","14","36","24.9668","50.9107","2.0391","120.0","120.0","1.80","20.81","42.43","1","0","Unscheduled","17.1"
"11","BATT-PACK-00010","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-001","MRD-8X","PORT","Port Logistics Hub","2","7/2/2025 12:00:00 AM","12/25/2025 12:00:00 AM","Scheduled","176","73","203","120.6664","247.0064","2.0470","120.0","120.0","1.80","100.56","205.84","0","1","Scheduled","3.3"
"12","BATT-PACK-00011","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-001","MRD-8X","PORT","Port Logistics Hub","2","12/25/2025 12:00:00 AM","6/19/2026 12:00:00 AM","Scheduled","176","73","176","121.4836","239.1803","1.9688","120.0","120.0","1.80","101.24","199.32","0","1","Scheduled","3.8"
"57","BATT-PACK-00013","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-002","MRD-8X","HIGHLND","Highland Operations","1","1/12/2024 12:00:00 AM","7/19/2024 12:00:00 AM","Scheduled","189","74","130","121.8165","257.4358","2.1133","120.0","120.0","1.80","101.51","214.53","0","1","Scheduled","6.5"
"58","BATT-PACK-00014","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-002","MRD-8X","HIGHLND","Highland Operations","1","7/19/2024 12:00:00 AM","12/19/2024 12:00:00 AM","Failure","153","59","105","103.9664","219.6939","2.1131","120.0","120.0","1.80","86.64","183.08","1","0","Unscheduled","25.0"
"59","BATT-PACK-00015","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-002","MRD-8X","HIGHLND","Highland Operations","1","12/19/2024 12:00:00 AM","7/4/2025 12:00:00 AM","Scheduled","197","69","120","120.3498","271.1185","2.2528","120.0","120.0","1.80","100.29","225.93","0","1","Scheduled","8.5"
"60","BATT-PACK-00016","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-002","MRD-8X","HIGHLND","Highland Operations","1","7/4/2025 12:00:00 AM","12/23/2025 12:00:00 AM","Scheduled","172","69","132","121.3001","252.1932","2.0791","120.0","120.0","1.80","101.08","210.16","0","1","Scheduled","7.7"
"61","BATT-PACK-00017","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-002","MRD-8X","HIGHLND","Highland Operations","1","12/23/2025 12:00:00 AM","6/26/2026 12:00:00 AM","Scheduled","185","72","133","120.4334","273.2550","2.2689","120.0","120.0","1.80","100.36","227.71","0","1","Scheduled","7.0"
"63","BATT-PACK-00019","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-002","MRD-8X","HIGHLND","Highland Operations","2","1/12/2024 12:00:00 AM","7/19/2024 12:00:00 AM","Scheduled","189","74","130","121.8165","257.4358","2.1133","120.0","120.0","1.80","101.51","214.53","0","1","Scheduled","5.7"
"64","BATT-PACK-00020","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-002","MRD-8X","HIGHLND","Highland Operations","2","7/19/2024 12:00:00 AM","12/30/2024 12:00:00 AM","Failure","164","63","111","111.3498","236.8936","2.1275","120.0","120.0","1.80","92.79","197.41","1","0","Unscheduled","22.3"
"65","BATT-PACK-00021","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-002","MRD-8X","HIGHLND","Highland Operations","2","12/30/2024 12:00:00 AM","4/16/2025 12:00:00 AM","Failure","107","40","68","67.2666","151.3035","2.2493","120.0","120.0","1.80","56.06","126.09","1","0","Unscheduled","16.5"
"66","BATT-PACK-00022","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-002","MRD-8X","HIGHLND","Highland Operations","2","4/16/2025 12:00:00 AM","10/3/2025 12:00:00 AM","Scheduled","170","69","136","121.2832","260.5784","2.1485","120.0","120.0","1.80","101.07","217.15","0","1","Scheduled","7.2"
"67","BATT-PACK-00023","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-002","MRD-8X","HIGHLND","Highland Operations","2","10/3/2025 12:00:00 AM","4/8/2026 12:00:00 AM","Scheduled","187","70","129","120.5833","263.2523","2.1832","120.0","120.0","1.80","100.49","219.38","0","1","Scheduled","3.6"
"68","BATT-PACK-00024","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-002","MRD-8X","HIGHLND","Highland Operations","2","4/8/2026 12:00:00 AM","7/21/2026 12:00:00 AM","Failure","104","35","58","58.5168","132.0071","2.2559","120.0","120.0","1.80","48.76","110.01","1","0","Unscheduled","14.8"
"69","BATT-PACK-00025","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-002","MRD-8X","HIGHLND","Highland Operations","2","7/21/2026 12:00:00 AM","8/20/2026 12:00:00 AM","Failure","30","18","28","27.6499","61.3552","2.2190","120.0","120.0","1.80","23.04","51.13","1","0","Unscheduled","11.6"
"119","BATT-PACK-00027","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-003","MRD-12H","PORT","Port Logistics Hub","1","3/3/2024 12:00:00 AM","9/2/2024 12:00:00 AM","Scheduled","183","72","199","120.1333","238.3522","1.9841","120.0","120.0","1.80","100.11","198.63","0","1","Scheduled","5.9"
