"InstallKey","ComponentSerial","ComponentCode","ComponentName","Criticality","LeadTimeFlightHours","TailNumber","ModelCode","BaseCode","BaseName","PositionNo","InstalledDate","Sorties","Landings","FlightHours","StressHours","IntervalFlightHours","IntervalStressHours","PctOfHourInterval","PctOfStressInterval","IsOverdueByHours","IsOverdueByStress","IsHiddenOverdue","StressPerFlightHour","RemainingStressHours","RemainingFlightHours","ProjectedFlightHoursToStressLimit","LastSortieDate"
"392","ROTOR-ASSY-00139","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","18.0","MU-008","MRD-12H","HIGHLND","Highland Operations","2","2/7/2026 12:00:00 AM","85","167","139.7328","308.1946","150.0","150.0","93.16","205.46","0","1","1","2.3105","-158.1946","10.2672","-68.47","9/28/2026 12:00:00 AM"
"209","BATT-PACK-00049","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-005","MRD-8X","PORT","Port Logistics Hub","1","3/28/2026 12:00:00 AM","71","153","121.5000","246.2652","120.0","120.0","101.25","205.22","1","1","0","1.9127","-126.2652","-1.5000","-66.01","9/29/2026 12:00:00 AM"
"981","BATT-PACK-00213","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-020","MRD-8X","HIGHLND","Highland Operations","1","4/9/2026 12:00:00 AM","67","131","111.8997","244.5730","120.0","120.0","93.25","203.81","0","1","1","2.2582","-124.5730","8.1003","-55.16","9/25/2026 12:00:00 AM"
"99","ROTOR-ASSY-00026","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","18.0","MU-002","MRD-8X","HIGHLND","Highland Operations","1","3/10/2026 12:00:00 AM","81","139","133.0167","302.8206","150.0","150.0","88.68","201.88","0","1","1","2.2807","-152.8206","16.9833","-67.01","9/29/2026 12:00:00 AM"
"372","MOTOR-ESC-00100","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-008","MRD-12H","HIGHLND","Highland Operations","2","11/28/2025 12:00:00 AM","111","221","186.2996","402.1619","200.0","200.0","93.15","201.08","0","1","1","2.3105","-202.1619","13.7004","-87.50","9/28/2026 12:00:00 AM"
"1503","ROTOR-ASSY-00545","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","18.0","MU-030","MRD-8X","PORT","Port Logistics Hub","4","2/27/2026 12:00:00 AM","85","262","147.0335","299.8295","150.0","150.0","98.02","199.89","0","1","1","1.9627","-149.8295","2.9665","-76.34","9/30/2026 12:00:00 AM"
"1336","GIMBAL-00068","GIMBAL","Payload gimbal","MissionCritical","24.0","MU-027","MRD-8X","HIGHLND","Highland Operations","1","9/3/2025 12:00:00 AM","162","287","282.0500","588.2364","300.0","300.0","94.02","196.08","0","1","1","1.9080","-288.2364","17.9500","-151.07","9/30/2026 12:00:00 AM"
"215","BATT-PACK-00055","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-005","MRD-8X","PORT","Port Logistics Hub","2","3/31/2026 12:00:00 AM","69","150","116.6166","235.2122","120.0","120.0","97.18","196.01","0","1","1","1.9127","-115.2122","3.3834","-60.24","9/29/2026 12:00:00 AM"
"352","BATT-PACK-00077","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-008","MRD-12H","HIGHLND","Highland Operations","1","4/7/2026 12:00:00 AM","63","121","104.8330","233.0981","120.0","120.0","87.36","194.25","0","1","1","2.3105","-113.0981","15.1670","-48.95","9/28/2026 12:00:00 AM"
"262","ROTOR-ASSY-00099","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","18.0","MU-005","MRD-8X","PORT","Port Logistics Hub","4","2/27/2026 12:00:00 AM","82","177","140.7332","284.2317","150.0","150.0","93.82","189.49","0","1","1","1.9127","-134.2317","9.2668","-70.18","9/29/2026 12:00:00 AM"
"903","ROTOR-ASSY-00325","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","18.0","MU-018","MRD-12H","HIGHLND","Highland Operations","3","2/13/2026 12:00:00 AM","79","146","131.1003","281.8172","150.0","150.0","87.40","187.88","0","1","1","2.1969","-131.8172","18.8997","-60.00","9/30/2026 12:00:00 AM"
"1227","BATT-PACK-00266","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-025","MRD-8X","HIGHLND","Highland Operations","1","4/11/2026 12:00:00 AM","60","114","102.7169","223.4371","120.0","120.0","85.60","186.20","0","1","1","2.1718","-103.4371","17.2831","-47.63","9/26/2026 12:00:00 AM"
"687","ROTOR-ASSY-00246","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","18.0","MU-014","MRD-6L","PORT","Port Logistics Hub","3","3/4/2026 12:00:00 AM","81","212","139.4500","276.6985","150.0","150.0","92.97","184.47","0","1","1","1.8671","-126.6985","10.5500","-67.86","9/30/2026 12:00:00 AM"
