"CheckCode","CheckName","Severity","EntityType","EntityRef","Detail","AffectsCurrentWear"
"DQ-01","Duplicate sortie record","High","Sortie","S-00008219","Airframe MU-024 on 2026-07-27: 2 identical sorties (94 min, 1 landings, same profile). Flight and stress hours are double counted.","1"
"DQ-01","Duplicate sortie record","High","Sortie","D-00008219","Airframe MU-024 on 2026-07-27: 2 identical sorties (94 min, 1 landings, same profile). Flight and stress hours are double counted.","1"
"DQ-01","Duplicate sortie record","High","Sortie","S-00003225","Airframe MU-010 on 2024-11-02: 2 identical sorties (102 min, 2 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","D-00003225","Airframe MU-010 on 2024-11-02: 2 identical sorties (102 min, 2 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","S-00006412","Airframe MU-020 on 2024-08-17: 2 identical sorties (169 min, 1 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","D-00006412","Airframe MU-020 on 2024-08-17: 2 identical sorties (169 min, 1 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","S-00009931","Airframe MU-030 on 2024-12-16: 2 identical sorties (172 min, 2 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","D-00009931","Airframe MU-030 on 2024-12-16: 2 identical sorties (172 min, 2 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","S-00006621","Airframe MU-020 on 2026-04-02: 2 identical sorties (137 min, 2 landings, same profile). Flight and stress hours are double counted.","1"
"DQ-01","Duplicate sortie record","High","Sortie","D-00006621","Airframe MU-020 on 2026-04-02: 2 identical sorties (137 min, 2 landings, same profile). Flight and stress hours are double counted.","1"
"DQ-01","Duplicate sortie record","High","Sortie","S-00001148","Airframe MU-004 on 2025-08-13: 2 identical sorties (95 min, 1 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","D-00001148","Airframe MU-004 on 2025-08-13: 2 identical sorties (95 min, 1 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","S-00004145","Airframe MU-012 on 2026-09-16: 2 identical sorties (119 min, 1 landings, same profile). Flight and stress hours are double counted.","1"
"DQ-01","Duplicate sortie record","High","Sortie","D-00004145","Airframe MU-012 on 2026-09-16: 2 identical sorties (119 min, 1 landings, same profile). Flight and stress hours are double counted.","1"
"DQ-01","Duplicate sortie record","High","Sortie","S-00001626","Airframe MU-005 on 2026-04-20: 2 identical sorties (120 min, 2 landings, same profile). Flight and stress hours are double counted.","1"
"DQ-01","Duplicate sortie record","High","Sortie","D-00001626","Airframe MU-005 on 2026-04-20: 2 identical sorties (120 min, 2 landings, same profile). Flight and stress hours are double counted.","1"
"DQ-01","Duplicate sortie record","High","Sortie","S-00009025","Airframe MU-027 on 2025-05-06: 2 identical sorties (152 min, 2 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","D-00009025","Airframe MU-027 on 2025-05-06: 2 identical sorties (152 min, 2 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","S-00009655","Airframe MU-029 on 2025-01-09: 2 identical sorties (108 min, 2 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","D-00009655","Airframe MU-029 on 2025-01-09: 2 identical sorties (108 min, 2 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","S-00000855","Airframe MU-003 on 2025-01-10: 2 identical sorties (118 min, 2 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","D-00000855","Airframe MU-003 on 2025-01-10: 2 identical sorties (118 min, 2 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","S-00009056","Airframe MU-027 on 2025-07-23: 2 identical sorties (96 min, 1 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","D-00009056","Airframe MU-027 on 2025-07-23: 2 identical sorties (96 min, 1 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","S-00003212","Airframe MU-010 on 2024-09-17: 2 identical sorties (80 min, 2 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","D-00003212","Airframe MU-010 on 2024-09-17: 2 identical sorties (80 min, 2 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","S-00001706","Airframe MU-006 on 2024-04-09: 2 identical sorties (63 min, 2 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","D-00001706","Airframe MU-006 on 2024-04-09: 2 identical sorties (63 min, 2 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","S-00001757","Airframe MU-006 on 2024-08-28: 2 identical sorties (138 min, 2 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","D-00001757","Airframe MU-006 on 2024-08-28: 2 identical sorties (138 min, 2 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","S-00001497","Airframe MU-005 on 2025-05-03: 2 identical sorties (101 min, 3 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","D-00001497","Airframe MU-005 on 2025-05-03: 2 identical sorties (101 min, 3 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","S-00010227","Airframe MU-031 on 2024-12-04: 2 identical sorties (117 min, 2 landings, same profile). Flight and stress hours are double counted.","0"
