"VibThreshold","ComponentCode","Population","Failures","AlertsRaised","TP","FP","FN","TN","ActionableTP","LateTP","PrecisionPct","RecallPct","ActionableLeadTimePct","PreventableFailurePct","MedianLeadTimeFlightHours","LeadTimeFlightHours"
"1.200","MOTOR-ESC","302","104","254","103","151","1","47","101","2","40.55","99.04","98.06","97.12","73.40","12.0"
"1.250","MOTOR-ESC","302","104","237","103","134","1","64","101","2","43.46","99.04","98.06","97.12","67.90","12.0"
"1.300","MOTOR-ESC","302","104","222","103","119","1","79","101","2","46.40","99.04","98.06","97.12","63.80","12.0"
"1.350","MOTOR-ESC","302","104","211","103","108","1","90","101","2","48.82","99.04","98.06","97.12","61.87","12.0"
"1.400","MOTOR-ESC","302","104","201","103","98","1","100","101","2","51.24","99.04","98.06","97.12","57.73","12.0"
"1.450","MOTOR-ESC","302","104","193","103","90","1","108","101","2","53.37","99.04","98.06","97.12","56.20","12.0"
"1.500","MOTOR-ESC","302","104","187","103","84","1","114","101","2","55.08","99.04","98.06","97.12","52.13","12.0"
"1.550","MOTOR-ESC","302","104","184","103","81","1","117","99","4","55.98","99.04","96.12","95.19","50.07","12.0"
"1.600","MOTOR-ESC","302","104","182","103","79","1","119","99","4","56.59","99.04","96.12","95.19","48.47","12.0"
"1.650","MOTOR-ESC","302","104","173","103","70","1","128","99","4","59.54","99.04","96.12","95.19","45.38","12.0"
"1.700","MOTOR-ESC","302","104","169","103","66","1","132","98","5","60.95","99.04","95.15","94.23","44.18","12.0"
"1.750","MOTOR-ESC","302","104","163","103","60","1","138","97","6","63.19","99.04","94.17","93.27","42.87","12.0"
"1.800","MOTOR-ESC","302","104","158","103","55","1","143","97","6","65.19","99.04","94.17","93.27","41.08","12.0"
"1.850","MOTOR-ESC","302","104","152","103","49","1","149","96","7","67.76","99.04","93.20","92.31","37.72","12.0"
"1.900","MOTOR-ESC","302","104","150","103","47","1","151","96","7","68.67","99.04","93.20","92.31","37.55","12.0"
"1.950","MOTOR-ESC","302","104","149","103","46","1","152","96","7","69.13","99.04","93.20","92.31","35.92","12.0"
"2.000","MOTOR-ESC","302","104","144","103","41","1","157","96","7","71.53","99.04","93.20","92.31","34.50","12.0"
"2.050","MOTOR-ESC","302","104","137","103","34","1","164","96","7","75.18","99.04","93.20","92.31","33.73","12.0"
"2.100","MOTOR-ESC","302","104","133","103","30","1","168","95","8","77.44","99.04","92.23","91.35","31.63","12.0"
"2.150","MOTOR-ESC","302","104","130","103","27","1","171","92","11","79.23","99.04","89.32","88.46","30.10","12.0"
"2.200","MOTOR-ESC","302","104","129","103","26","1","172","92","11","79.84","99.04","89.32","88.46","28.58","12.0"
"2.250","MOTOR-ESC","302","104","128","103","25","1","173","91","12","80.47","99.04","88.35","87.50","27.15","12.0"
"2.300","MOTOR-ESC","302","104","126","103","23","1","175","91","12","81.75","99.04","88.35","87.50","26.85","12.0"
"2.350","MOTOR-ESC","302","104","126","103","23","1","175","91","12","81.75","99.04","88.35","87.50","25.72","12.0"
"2.400","MOTOR-ESC","302","104","124","103","21","1","177","89","14","83.06","99.04","86.41","85.58","23.88","12.0"
"2.450","MOTOR-ESC","302","104","124","103","21","1","177","88","15","83.06","99.04","85.44","84.62","23.52","12.0"
"2.500","MOTOR-ESC","302","104","122","103","19","1","179","88","15","84.43","99.04","85.44","84.62","22.58","12.0"
"2.550","MOTOR-ESC","302","104","121","103","18","1","180","87","16","85.12","99.04","84.47","83.65","20.63","12.0"
"2.600","MOTOR-ESC","302","104","121","103","18","1","180","85","18","85.12","99.04","82.52","81.73","20.08","12.0"
"2.650","MOTOR-ESC","302","104","120","103","17","1","181","83","20","85.83","99.04","80.58","79.81","19.05","12.0"
"2.700","MOTOR-ESC","302","104","120","103","17","1","181","80","23","85.83","99.04","77.67","76.92","17.72","12.0"
"2.750","MOTOR-ESC","302","104","119","103","16","1","182","79","24","86.55","99.04","76.70","75.96","17.07","12.0"
"2.800","MOTOR-ESC","302","104","118","103","15","1","183","78","25","87.29","99.04","75.73","75.00","16.78","12.0"
"2.850","MOTOR-ESC","302","104","117","103","14","1","184","77","26","88.03","99.04","74.76","74.04","15.15","12.0"
"2.900","MOTOR-ESC","302","104","116","103","13","1","185","72","31","88.79","99.04","69.90","69.23","14.35","12.0"
"2.950","MOTOR-ESC","302","104","116","103","13","1","185","68","35","88.79","99.04","66.02","65.38","13.67","12.0"
"3.000","MOTOR-ESC","302","104","115","103","12","1","186","60","43","89.57","99.04","58.25","57.69","12.68","12.0"
"3.050","MOTOR-ESC","302","104","114","103","11","1","187","52","51","90.35","99.04","50.49","50.00","12.03","12.0"
"3.100","MOTOR-ESC","302","104","112","103","9","1","189","44","59","91.96","99.04","42.72","42.31","11.30","12.0"
"3.150","MOTOR-ESC","302","104","112","103","9","1","189","40","63","91.96","99.04","38.83","38.46","10.78","12.0"
"3.200","MOTOR-ESC","302","104","110","103","7","1","191","32","71","93.64","99.04","31.07","30.77","9.48","12.0"
"3.250","MOTOR-ESC","302","104","110","103","7","1","191","27","76","93.64","99.04","26.21","25.96","8.37","12.0"
"3.300","MOTOR-ESC","302","104","109","103","6","1","192","19","84","94.50","99.04","18.45","18.27","8.00","12.0"
"3.350","MOTOR-ESC","302","104","107","103","4","1","194","15","88","96.26","99.04","14.56","14.42","7.40","12.0"
"3.400","MOTOR-ESC","302","104","106","103","3","1","195","9","94","97.17","99.04","8.74","8.65","6.75","12.0"
"3.450","MOTOR-ESC","302","104","105","102","3","2","195","7","95","97.14","98.08","6.86","6.73","5.90","12.0"
"3.500","MOTOR-ESC","302","104","105","102","3","2","195","3","99","97.14","98.08","2.94","2.88","5.40","12.0"
"3.550","MOTOR-ESC","302","104","102","100","2","4","196","0","100","98.04","96.15","0.00","0.00","4.46","12.0"
"3.600","MOTOR-ESC","302","104","101","99","2","5","196","0","99","98.02","95.19","0.00","0.00","3.77","12.0"
"3.650","MOTOR-ESC","302","104","98","96","2","8","196","0","96","97.96","92.31","0.00","0.00","2.77","12.0"
"3.700","MOTOR-ESC","302","104","95","94","1","10","197","0","94","98.95","90.38","0.00","0.00","2.64","12.0"
"3.750","MOTOR-ESC","302","104","89","89","0","15","198","0","89","100.00","85.58","0.00","0.00","2.22","12.0"
"3.800","MOTOR-ESC","302","104","83","83","0","21","198","0","83","100.00","79.81","0.00","0.00","1.90","12.0"
"3.850","MOTOR-ESC","302","104","72","72","0","32","198","0","72","100.00","69.23","0.00","0.00","1.05","12.0"
"3.900","MOTOR-ESC","302","104","66","66","0","38","198","0","66","100.00","63.46","0.00","0.00","0.00","12.0"
"3.950","MOTOR-ESC","302","104","54","54","0","50","198","0","54","100.00","51.92","0.00","0.00","0.00","12.0"
"4.000","MOTOR-ESC","302","104","45","45","0","59","198","0","45","100.00","43.27","0.00","0.00","0.00","12.0"
"1.200","ROTOR-ASSY","432","184","431","184","247","0","1","177","7","42.69","100.00","96.20","96.20","79.44","18.0"
"1.250","ROTOR-ASSY","432","184","430","184","246","0","2","177","7","42.79","100.00","96.20","96.20","74.30","18.0"
"1.300","ROTOR-ASSY","432","184","429","184","245","0","3","177","7","42.89","100.00","96.20","96.20","71.48","18.0"
"1.350","ROTOR-ASSY","432","184","421","184","237","0","11","177","7","43.71","100.00","96.20","96.20","69.42","18.0"
"1.400","ROTOR-ASSY","432","184","418","184","234","0","14","177","7","44.02","100.00","96.20","96.20","68.29","18.0"
"1.450","ROTOR-ASSY","432","184","416","184","232","0","16","177","7","44.23","100.00","96.20","96.20","64.55","18.0"
"1.500","ROTOR-ASSY","432","184","410","184","226","0","22","177","7","44.88","100.00","96.20","96.20","63.38","18.0"
"1.550","ROTOR-ASSY","432","184","404","184","220","0","28","177","7","45.54","100.00","96.20","96.20","61.27","18.0"
"1.600","ROTOR-ASSY","432","184","399","184","215","0","33","175","9","46.12","100.00","95.11","95.11","58.72","18.0"
"1.650","ROTOR-ASSY","432","184","396","184","212","0","36","175","9","46.46","100.00","95.11","95.11","56.97","18.0"
"1.700","ROTOR-ASSY","432","184","389","184","205","0","43","175","9","47.30","100.00","95.11","95.11","55.91","18.0"
"1.750","ROTOR-ASSY","432","184","384","184","200","0","48","174","10","47.92","100.00","94.57","94.57","54.48","18.0"
"1.800","ROTOR-ASSY","432","184","379","184","195","0","53","174","10","48.55","100.00","94.57","94.57","53.21","18.0"
"1.850","ROTOR-ASSY","432","184","375","184","191","0","57","173","11","49.07","100.00","94.02","94.02","51.37","18.0"
"1.900","ROTOR-ASSY","432","184","368","184","184","0","64","173","11","50.00","100.00","94.02","94.02","49.96","18.0"
"1.950","ROTOR-ASSY","432","184","362","184","178","0","70","173","11","50.83","100.00","94.02","94.02","47.55","18.0"
"2.000","ROTOR-ASSY","432","184","356","184","172","0","76","173","11","51.69","100.00","94.02","94.02","46.47","18.0"
"2.050","ROTOR-ASSY","432","184","350","184","166","0","82","173","11","52.57","100.00","94.02","94.02","45.64","18.0"
"2.100","ROTOR-ASSY","432","184","343","184","159","0","89","172","12","53.64","100.00","93.48","93.48","44.48","18.0"
"2.150","ROTOR-ASSY","432","184","339","184","155","0","93","172","12","54.28","100.00","93.48","93.48","43.16","18.0"
"2.200","ROTOR-ASSY","432","184","334","184","150","0","98","171","13","55.09","100.00","92.93","92.93","42.42","18.0"
"2.250","ROTOR-ASSY","432","184","329","184","145","0","103","170","14","55.93","100.00","92.39","92.39","40.69","18.0"
"2.300","ROTOR-ASSY","432","184","324","184","140","0","108","169","15","56.79","100.00","91.85","91.85","39.30","18.0"
"2.350","ROTOR-ASSY","432","184","319","184","135","0","113","169","15","57.68","100.00","91.85","91.85","38.28","18.0"
