threshold,population,failures,alerts,tp,fp,fn,tn,actionable_tp,late_tp,precision_pct,recall_pct,actionable_lead_time_pct,preventable_failure_pct,median_lead_time_flight_hours,feature_set
0.05,221,90,106,90,16,0,115,90,0,84.91,100.0,100.0,100.0,43.92,both
0.1,221,90,101,90,11,0,120,90,0,89.11,100.0,100.0,100.0,42.5,both
0.15,221,90,98,90,8,0,123,90,0,91.84,100.0,100.0,100.0,41.71,both
0.2,221,90,98,90,8,0,123,90,0,91.84,100.0,100.0,100.0,40.2,both
0.25,221,90,98,90,8,0,123,90,0,91.84,100.0,100.0,100.0,40.08,both
0.3,221,90,98,90,8,0,123,90,0,91.84,100.0,100.0,100.0,39.58,both
0.35,221,90,97,90,7,0,124,90,0,92.78,100.0,100.0,100.0,39.26,both
0.4,221,90,96,90,6,0,125,90,0,93.75,100.0,100.0,100.0,39.05,both
0.45,221,90,96,90,6,0,125,90,0,93.75,100.0,100.0,100.0,38.96,both
0.5,221,90,96,90,6,0,125,90,0,93.75,100.0,100.0,100.0,38.26,both
0.55,221,90,96,90,6,0,125,90,0,93.75,100.0,100.0,100.0,37.67,both
0.6,221,90,94,90,4,0,127,90,0,95.74,100.0,100.0,100.0,37.43,both
0.65,221,90,94,90,4,0,127,90,0,95.74,100.0,100.0,100.0,37.25,both
0.7,221,90,93,90,3,0,128,90,0,96.77,100.0,100.0,100.0,37.02,both
0.75,221,90,93,90,3,0,128,90,0,96.77,100.0,100.0,100.0,36.88,both
0.8,221,90,92,90,2,0,129,90,0,97.83,100.0,100.0,100.0,36.49,both
0.85,221,90,92,90,2,0,129,90,0,97.83,100.0,100.0,100.0,35.35,both
0.9,221,90,92,90,2,0,129,90,0,97.83,100.0,100.0,100.0,34.42,both
0.95,221,90,91,90,1,0,130,89,1,98.9,100.0,98.89,98.89,33.27,both
