threshold,population,failures,alerts,tp,fp,fn,tn,actionable_tp,late_tp,precision_pct,recall_pct,actionable_lead_time_pct,preventable_failure_pct,median_lead_time_flight_hours,feature_set
0.05,221,90,216,88,128,2,3,85,3,40.74,97.78,96.59,94.44,86.43,exposure
0.1,221,90,212,84,128,6,3,77,7,39.62,93.33,91.67,85.56,73.63,exposure
0.15,221,90,184,71,113,19,18,64,7,38.59,78.89,90.14,71.11,61.78,exposure
0.2,221,90,158,58,100,32,31,52,6,36.71,64.44,89.66,57.78,53.75,exposure
0.25,221,90,143,55,88,35,43,47,8,38.46,61.11,85.45,52.22,49.0,exposure
0.3,221,90,121,48,73,42,58,40,8,39.67,53.33,83.33,44.44,47.86,exposure
0.35,221,90,107,42,65,48,66,29,13,39.25,46.67,69.05,32.22,40.72,exposure
0.4,221,90,80,33,47,57,84,22,11,41.25,36.67,66.67,24.44,37.9,exposure
0.45,221,90,44,14,30,76,101,8,6,31.82,15.56,57.14,8.89,26.7,exposure
0.5,221,90,19,3,16,87,115,1,2,15.79,3.33,33.33,1.11,11.03,exposure
0.55,221,90,6,1,5,89,126,0,1,16.67,1.11,0.0,0.0,5.18,exposure
0.6,221,90,1,0,1,90,130,0,0,0.0,0.0,,0.0,,exposure
0.65,221,90,1,0,1,90,130,0,0,0.0,0.0,,0.0,,exposure
0.7,221,90,1,0,1,90,130,0,0,0.0,0.0,,0.0,,exposure
0.75,221,90,0,0,0,90,131,0,0,,0.0,,0.0,,exposure
0.8,221,90,0,0,0,90,131,0,0,,0.0,,0.0,,exposure
0.85,221,90,0,0,0,90,131,0,0,,0.0,,0.0,,exposure
0.9,221,90,0,0,0,90,131,0,0,,0.0,,0.0,,exposure
0.95,221,90,0,0,0,90,131,0,0,,0.0,,0.0,,exposure
