threshold,population,failures,alerts,tp,fp,fn,tn,actionable_tp,late_tp,precision_pct,recall_pct,actionable_lead_time_pct,preventable_failure_pct,median_lead_time_flight_hours,feature_set
0.05,221,90,169,90,79,0,52,90,0,53.25,100.0,100.0,100.0,57.7,telemetry
0.1,221,90,156,90,66,0,65,90,0,57.69,100.0,100.0,100.0,51.89,telemetry
0.15,221,90,149,90,59,0,72,90,0,60.4,100.0,100.0,100.0,49.27,telemetry
0.2,221,90,145,90,55,0,76,90,0,62.07,100.0,100.0,100.0,47.5,telemetry
0.25,221,90,140,90,50,0,81,90,0,64.29,100.0,100.0,100.0,46.01,telemetry
0.3,221,90,139,90,49,0,82,90,0,64.75,100.0,100.0,100.0,43.56,telemetry
0.35,221,90,135,90,45,0,86,90,0,66.67,100.0,100.0,100.0,42.5,telemetry
0.4,221,90,134,90,44,0,87,90,0,67.16,100.0,100.0,100.0,41.51,telemetry
0.45,221,90,134,90,44,0,87,90,0,67.16,100.0,100.0,100.0,40.3,telemetry
0.5,221,90,133,90,43,0,88,90,0,67.67,100.0,100.0,100.0,39.33,telemetry
0.55,221,90,130,90,40,0,91,90,0,69.23,100.0,100.0,100.0,37.67,telemetry
0.6,221,90,128,90,38,0,93,90,0,70.31,100.0,100.0,100.0,37.05,telemetry
0.65,221,90,126,90,36,0,95,89,1,71.43,100.0,98.89,98.89,34.49,telemetry
0.7,221,90,125,90,35,0,96,89,1,72.0,100.0,98.89,98.89,32.24,telemetry
0.75,221,90,121,90,31,0,100,87,3,74.38,100.0,96.67,96.67,29.2,telemetry
0.8,221,90,119,90,29,0,102,82,8,75.63,100.0,91.11,91.11,26.82,telemetry
0.85,221,90,108,90,18,0,113,76,14,83.33,100.0,84.44,84.44,24.65,telemetry
0.9,221,90,103,90,13,0,118,61,29,87.38,100.0,67.78,67.78,18.78,telemetry
0.95,221,90,95,90,5,0,126,30,60,94.74,100.0,33.33,33.33,10.27,telemetry
